Test Year: 2019
Total: 1199, Correct: 366, ExpRate: 30.53%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN19_1001_em_8	CORRECT	\frac { 2 } { 3 } k + 7	\frac { 2 } { 3 } k + 7
UN19wb_1111_em_1048	CORRECT	x ^ { 5 } - x ^ { 7 }	x ^ { 5 } - x ^ { 7 }
UN19_1046_em_669	WRONG	x x C	x \geq c
ISICal19_1201_em_750	WRONG	- \frac { 1 } { 1 9 2 } }	- \frac 1 { 1 9 2 }
UN19_1017_em_230	WRONG	t \times F	t \times t
UN19_1015_em_207	CORRECT	b \neq c	b \neq c
UN19_1011_em_150	CORRECT	x \rightarrow a x + b	x \rightarrow a x + b
UN19wb_1103_em_928	CORRECT	x d x	x d x
UN19_1026_em_367	CORRECT	x ^ { 3 } x ^ { 4 } x ^ { 5 }	x ^ { 3 } x ^ { 4 } x ^ { 5 }
UN19_1001_em_1	CORRECT	\sin ( \pi j )	\sin ( \pi j )
ISICal19_1201_em_760	CORRECT	\frac { 1 } { \sqrt { 6 } }	\frac { 1 } { \sqrt { 6 } }
UN19wb_1105_em_950	CORRECT	\cos ( v )	\cos ( v )
UN19_1001_em_5	WRONG	m \int d \tan	m \int d t
UN19_1008_em_116	CORRECT	x y = y x	x y = y x
ISICal19_1204_em_799	CORRECT	3 \times n	3 \times n
ISICal19_1206_em_835	WRONG	4 \times q	4 \times 9
UN19wb_1120_em_1181	CORRECT	x ^ { 3 } - x ^ { 7 }	x ^ { 3 } - x ^ { 7 }
UN19wb_1110_em_1029	WRONG	\int c _ { 2 }	\int c _ { z }
UN19_1010_em_142	CORRECT	A A	A A
ISICal19_1203_em_783	CORRECT	y > x	y > x
UN19_1047_em_688	CORRECT	\sqrt { - f }	\sqrt { - f }
UN19wb_1109_em_1018	WRONG	x = \times n \theta	x = y \tan \theta
UN19_1026_em_371	CORRECT	n + 7	n + 7
UN19_1022_em_309	CORRECT	\cos ( X )	\cos ( X )
UN19_1003_em_32	WRONG	\frac { c } { c }	\frac { c } { u }
UN19wb_1108_em_1000	CORRECT	\pm \sqrt { p }	\pm \sqrt { p }
UN19wb_1120_em_1177	CORRECT	\int d ^ { 3 } y	\int d ^ { 3 } y
ISICal19_1203_em_791	CORRECT	\sin k _ { n } x ^ { 5 }	\sin k _ { n } x ^ { 5 }
UN19_1011_em_161	WRONG	\frac { 2 y } { A }	\frac { 2 7 } { 7 }
UN19_1050_em_727	WRONG	t + M	t + \pi
UN19wb_1116_em_1114	WRONG	y \times y	Y \times Y
UN19wb_1109_em_1015	CORRECT	\sqrt { - t }	\sqrt { - t }
UN19wb_1111_em_1040	WRONG	\pm \frac { 1 } { \sqrt { 1 ^ { 2 } } }	\pm \frac { 1 } { \sqrt { 1 3 2 } }
UN19wb_1108_em_994	WRONG	- \int b \beta	- \int b B
UN19_1023_em_326	CORRECT	n \times 3	n \times 3
UN19wb_1120_em_1176	CORRECT	z \rightarrow \sqrt { z }	z \rightarrow \sqrt { z }
UN19wb_1104_em_943	CORRECT	\frac { 1 } { \sqrt { 2 } }	\frac { 1 } { \sqrt { 2 } }
UN19wb_1118_em_1141	CORRECT	\frac { 7 7 7 } { 4 0 0 }	\frac { 7 7 7 } { 4 0 0 }
ISICal19_1211_em_885	CORRECT	t - x	t - x
UN19_1046_em_671	CORRECT	b = - \frac { 3 } { 8 \sqrt { 7 } }	b = - \frac { 3 } { 8 \sqrt { 7 } }
UN19wb_1110_em_1022	CORRECT	\frac { 6 } { \sqrt { 7 } }	\frac { 6 } { \sqrt { 7 } }
UN19_1029_em_411	CORRECT	\frac { 1 } { c }	\frac { 1 } { c }
ISICal19_1205_em_814	WRONG	5 2 \times 2 ^ { 2 } f	\sin ^ { 2 } { F }
ISICal19_1210_em_877	WRONG	\frac { 1 } { 2 } x \frac { 1 } { 2 }	\frac { 1 } { 2 } \times \frac { 1 } { 2 }
ISICal19_1209_em_856	CORRECT	e . g	e . g
UN19wb_1109_em_1005	WRONG	x ^ { \prime + 1 } = 9 y ^ { 1 } x ^ { 1 }	x ^ { 1 } y ^ { 1 } = q y ^ { 1 } x ^ { 1 }
UN19wb_1113_em_1079	CORRECT	\frac { 9 } { 7 }	\frac { 9 } { 7 }
UN19wb_1110_em_1020	CORRECT	p \geq 7	p \geq 7
ISICal19_1203_em_781	CORRECT	\sqrt { n m }	\sqrt { n m }
UN19wb_1103_em_923	CORRECT	\sqrt { \frac { k } { n } }	\sqrt { \frac { k } { n } }
UN19_1038_em_542	CORRECT	\frac { 5 } { 4 }	\frac { 5 } { 4 }
UN19wb_1111_em_1045	WRONG	\tan 0 = q = p	\tan o = q \div p
ISICal19_1205_em_819	WRONG	\int d ^ { k } x	\int { d } ^ { 4 } x
UN19wb_1105_em_951	CORRECT	x = \tan \theta	x = \tan \theta
UN19wb_1117_em_1127	CORRECT	\frac { 1 } { \sqrt { 3 } }	\frac { 1 } { \sqrt { 3 } }
UN19wb_1120_em_1178	CORRECT	\tan \beta = 2	\tan \beta = 2
UN19wb_1108_em_1004	WRONG	\frac { 2 s } { \sin 6 } \frac { \sqrt { x } } { r ^ { 3 } }	\frac { { 2 5 } } { { 9 6 } } \frac { { \sqrt { \pi } } } { { R ^ { 3 } } }
UN19wb_1111_em_1038	CORRECT	8 x ^ { 4 } - 8 x ^ { 2 } + 1	8 x ^ { 4 } - 8 x ^ { 2 } + 1
UN19_1010_em_143	CORRECT	k + x	k + x
UN19_1028_em_390	WRONG	u y y	d y y
UN19wb_1110_em_1025	CORRECT	+ 7 8	+ 7 8
UN19wb_1121_em_1199	WRONG	1 0 7 3 7 + 1 . 2 7 2 7	1 . 0 7 3 7 + 1 . 2 2 2 7
UN19_1002_em_17	WRONG	E F + \pi \pi	E F + E E E
UN19_1025_em_348	WRONG	\frac { q } { 2 }	\frac { 9 } { 2 }
UN19wb_1111_em_1036	CORRECT	a = \sin \theta	a = \sin \theta
UN19_1049_em_707	CORRECT	q y x	q y x
UN19_1031_em_435	CORRECT	\cos ^ { 2 } \alpha	\cos ^ { 2 } \alpha
UN19_1046_em_664	CORRECT	\frac { 1 } { x _ { 4 } - x _ { 1 } }	\frac { 1 } { x _ { 4 } - x _ { 1 } }
UN19_1026_em_374	WRONG	\frac { 1 } { 2 } x \frac { 1 } { 2 }	\frac { 1 } { 2 } \times \frac 1 2
UN19_1050_em_732	CORRECT	x \in A	x \in A
UN19_1008_em_109	CORRECT	\cos \pi j	\cos \pi j
UN19_1018_em_247	WRONG	\frac { y ^ { n } } { y ^ { n } }	\frac { y ^ { a } _ { n } } { y ^ { b } _ { n } }
UN19_1020_em_283	CORRECT	\frac { 6 } { 7 }	\frac { 6 } { 7 }
UN19wb_1115_em_1103	CORRECT	\frac { + 1 } { \sqrt { 2 } }	\frac { + 1 } { \sqrt { 2 } }
ISICal19_1201_em_757	WRONG	\frac { - 9 6 4 } { 6 }	- \frac { 6 4 6 } { 9 }
UN19wb_1105_em_956	CORRECT	\frac { e } { \sqrt { 2 \pi } }	\frac { e } { \sqrt { 2 \pi } }
UN19_1007_em_104	CORRECT	\cos z _ { 0 }	\cos z _ { 0 }
UN19wb_1111_em_1044	CORRECT	a \geq - \frac { 1 } { 4 }	a \geq - \frac { 1 } { 4 }
UN19wb_1119_em_1158	CORRECT	b = - \int g	b = - \int g
UN19_1026_em_360	WRONG	\frac { 5 2 } { 4 5 }	- \frac { 5 2 } { 4 5 }
UN19_1048_em_698	CORRECT	\sum _ { n } n ^ { - 1 }	\sum _ { n } n ^ { - 1 }
UN19wb_1115_em_1104	WRONG	c < c _ { c R }	c < c _ { c r }
UN19wb_1120_em_1175	CORRECT	\frac { n } { 2 } + \frac { 3 } { 2 }	\frac { n } { 2 } + \frac { 3 } { 2 }
UN19_1013_em_184	CORRECT	t r	t r
UN19_1040_em_581	WRONG	\frac { 1 } { 1 }	\frac { 1 } { 7 }
ISICal19_1201_em_762	WRONG	\frac { \sqrt { 3 z } } { 4 }	\frac { \sqrt [ 3 ] { 7 } } { 4 }
UN19wb_1112_em_1057	WRONG	n \times n	n { \times } n
UN19_1048_em_697	CORRECT	- \cos \theta	- \cos \theta
ISICal19_1206_em_829	CORRECT	\frac { \infty } { \infty }	\frac { \infty } { \infty }
ISICal19_1210_em_875	WRONG	x x + x ^ { c b }	x \rightarrow x + x ^ { c l }
ISICal19_1205_em_810	CORRECT	A = \sum _ { x } m _ { x } ( x )	A = \sum _ { x } m _ { x } ( x )
UN19_1024_em_343	WRONG	\frac { b } { 3 }	\frac { 5 } { 3 }
UN19_1050_em_733	CORRECT	a \neq - b	a \neq - b
UN19wb_1103_em_918	WRONG	0 \leq - x \leq \frac { 1 } { 4 }	0 \leq x \leq \frac { 1 } { 4 }
UN19_1050_em_726	WRONG	3 . 9	3 \ldots 9
UN19_1050_em_729	CORRECT	b = \sqrt { a }	b = \sqrt { a }
UN19_1007_em_94	CORRECT	\frac { 4 } { 7 }	\frac { 4 } { 7 }
UN19wb_1105_em_948	WRONG	u = \frac { a z + b } { ( z + q }	u = \frac { a z + b } { c z + d }
UN19wb_1119_em_1161	WRONG	9 + 1 + 1 3	9 + 1 1 + 1 3
UN19_1042_em_602	CORRECT	\sin ( n v )	\sin ( n v )
UN19wb_1109_em_1014	CORRECT	b = \frac { 1 } { \sqrt { 1 - 4 c } }	b = \frac { 1 } { \sqrt { 1 - 4 c } }
UN19wb_1107_em_987	WRONG	\frac { - 3 } { \sqrt { 3 0 0 } }	\frac { - 3 } { \sqrt { 3 6 0 } }
UN19wb_1121_em_1193	WRONG	a p 3 = \sin ( a E ) v	a p = \sin ( a E ) v
UN19wb_1117_em_1129	WRONG	3 = c	B = C
UN19wb_1110_em_1034	WRONG	\int p ^ { d x }	\int p d x
ISICal19_1205_em_815	CORRECT	\sqrt { 3 \alpha }	\sqrt { 3 \alpha }
UN19_1008_em_114	WRONG	( x ^ { 8 } - x ^ { y } )	( x ^ { 8 } - x ^ { 9 } )
UN19wb_1108_em_993	CORRECT	x ^ { 4 } - x ^ { 5 }	x ^ { 4 } - x ^ { 5 }
UN19_1019_em_266	WRONG	1 \pi	I H
UN19wb_1107_em_988	WRONG	x y = q ^ { y x }	x y = q y x
UN19_1026_em_369	WRONG	\sqrt { 4 + z ^ { 2 } }	\sqrt { 1 + z ^ { 2 } }
UN19wb_1113_em_1066	WRONG	\log \alpha = 1	\cos { \alpha } = 1
UN19_1017_em_225	WRONG	\frac { Y } { \sqrt { \mu } }	\frac { w } { w }
UN19_1024_em_344	WRONG	\frac { 8 } { 8 }	\frac { 8 } { 7 }
UN19_1047_em_679	WRONG	\int d x	\int d X
UN19_1021_em_286	WRONG	x - r	x - t
UN19_1026_em_373	WRONG	r = \sqrt { x ^ { a } \geq a ^ { a } }	r = \sqrt { x ^ { a } x ^ { a } }
UN19wb_1111_em_1042	WRONG	r = \sqrt { y } y ^ { a } }	r = \sqrt { y ^ { a } y ^ { a } }
UN19_1007_em_97	CORRECT	\sqrt { \frac { 1 } { n + 1 } }	\sqrt { \frac { 1 } { n + 1 } }
UN19wb_1109_em_1011	WRONG	c = - \sin \pi \alpha	c _ { b } = - \sin \pi \alpha
UN19_1008_em_118	WRONG	\tan ( \theta ) = \lambda	\tan ( \theta ) = 1
UN19_1002_em_23	CORRECT	g + B	g + B
UN19_1030_em_431	WRONG	x ^ { 8 } - x ^ { g }	x ^ { 8 } - x ^ { 9 }
UN19_1025_em_351	CORRECT	\frac { 1 } { \sqrt { 2 } }	\frac { 1 } { \sqrt { 2 } }
UN19wb_1116_em_1118	WRONG	\sum _ { b } \pm a b	\sum _ { b } I _ { a b }
ISICal19_1210_em_871	CORRECT	- a < b \leq a	- a < b \leq a
UN19_1011_em_159	WRONG	\int 4 B	\int d B
UN19_1048_em_701	CORRECT	x y x ^ { - 1 } y ^ { - 1 }	x y x ^ { - 1 } y ^ { - 1 }
UN19_1038_em_551	WRONG	x \in y	x \in Y
ISICal19_1206_em_839	WRONG	c \rightarrow c + a a	c \rightarrow c + d a
UN19wb_1110_em_1031	CORRECT	\frac { 1 } { 2 } \frac { 1 } { 2 } \frac { 1 } { 2 }	\frac { 1 } { 2 } \frac { 1 } { 2 } \frac { 1 } { 2 }
UN19_1007_em_96	WRONG	\sum _ { m = 1 } ^ { r } \frac { 1 } { r }	\sum _ { r = 1 } ^ { r _ { m a x } } \frac 1 { r }
UN19_1033_em_477	WRONG	i . i	i \ldots n
UN19wb_1112_em_1052	CORRECT	\sin ^ { 2 } u	\sin ^ { 2 } u
UN19_1026_em_370	WRONG	6 \times 0	G \times G
UN19_1048_em_694	WRONG	\frac { 1 } { \sqrt { 2 } }	\frac { - 1 } { \sqrt { 2 } }
UN19_1022_em_303	WRONG	\frac { 1 5 9 } { 4 8 }	\frac { 1 7 9 } { 4 8 }
UN19_1007_em_93	CORRECT	x \rightarrow x + i y	x \rightarrow x + i y
ISICal19_1210_em_882	WRONG	v ( x ) = x + f _ { 1 } x ^ { 2 } + 2 , i	v ( x ) = x + f _ { 1 } x ^ { 2 } + \ldots
UN19wb_1110_em_1032	WRONG	\sin B _ { n } x c	\sin \beta _ { n } x
ISICal19_1211_em_895	CORRECT	a + \frac { 1 } { 2 } \geq \frac { 1 } { 2 }	a + \frac { 1 } { 2 } \geq \frac { 1 } { 2 }
UN19_1028_em_391	WRONG	\frac { \log 9 g } { 5 2 8 }	\frac { 8 9 9 } { 5 2 8 }
UN19_1046_em_672	WRONG	\sqrt { w + a b \cos ^ { y } d z	d x + 2 l \cos { y } d z
UN19_1042_em_604	WRONG	j L L t	\sin L t
ISICal19_1211_em_889	CORRECT	- \frac { 1 } { 2 } \log 2	- \frac { 1 } { 2 } \log 2
UN19wb_1103_em_922	WRONG	\pm \frac { 1 } { \sqrt { 2 \} } }	\pm \frac { 1 } { \sqrt { 2 4 } }
UN19_1015_em_200	WRONG	b a _ { n } b ^ { n } n ^ { b }	b _ { a b } n ^ { a } n ^ { b }
UN19wb_1108_em_996	WRONG	c = \sum _ { n = 1 } ^ { n } n ^ { 2 }	C = \sum _ { n = 1 } c _ { n } n ^ { 2 }
ISICal19_1203_em_792	WRONG	f = f _ { a } + f _ { b } + f c	f = f _ { a } + f _ { b } + f _ { c }
UN19_1022_em_311	CORRECT	\int R \sqrt { g }	\int R \sqrt { g }
UN19_1048_em_696	CORRECT	- \frac { 4 4 8 3 } { 9 4 5 }	- \frac { 4 4 8 3 } { 9 4 5 }
UN19wb_1103_em_920	WRONG	t = k \theta	t = p \tan \theta
UN19wb_1115_em_1106	WRONG	\int o y \int d x	\int d y \int d x
UN19_1026_em_364	CORRECT	a _ { 1 } + a _ { 2 } + a _ { 3 } + a _ { 6 }	a _ { 1 } + a _ { 2 } + a _ { 3 } + a _ { 6 }
UN19wb_1120_em_1171	WRONG	z = \tan M	z = \tan \mu
UN19wb_1104_em_940	WRONG	\lim _ { w \rightarrow \infty } w = 0	\lim _ { r \rightarrow \infty } w = 0
ISICal19_1201_em_752	CORRECT	z ( \log z ) ^ { n }	z ( \log z ) ^ { n }
ISICal19_1207_em_852	WRONG	\sin \sqrt { 2 } t	\sin E t
UN19_1045_em_656	WRONG	V i , k	\forall i , k
ISICal19_1207_em_849	WRONG	n _ { 1 0 } k _ { 1 0 }	n ! k !
UN19wb_1119_em_1165	WRONG	e ^ { n } \sin \frac { \theta } { 2 } = (	e \sin \frac { \theta } { 2 } = 1
UN19wb_1116_em_1122	CORRECT	\sqrt { \frac { p + 1 } { 2 } }	\sqrt { \frac { p + 1 } { 2 } }
UN19_1046_em_666	WRONG	f _ { x } = x - [ u ]	f _ { x } = x - [ x ]
UN19_1025_em_356	WRONG	u - b + c - 4	a - b + c - d
UN19_1047_em_686	CORRECT	a ^ { a } ( x ) a _ { a } ( x )	a ^ { a } ( x ) a _ { a } ( x )
UN19wb_1121_em_1188	WRONG	z = \int d y ^ { - 1 } ( y )	z = \int d y a ^ { - 1 } ( y )
UN19_1018_em_245	CORRECT	v ^ { a } v ^ { b }	v ^ { a } v ^ { b }
UN19_1003_em_42	CORRECT	- \frac { 1 } { 2 \sqrt { 3 } }	- \frac { 1 } { 2 \sqrt { 3 } }
UN19_1048_em_699	WRONG	\alpha - \frac { \alpha } { 2 } \sqrt { \frac { 5 } { 3 } }	\alpha \rightarrow \frac { \alpha } { 2 } \sqrt { \frac { 5 } { 3 } }
ISICal19_1203_em_788	CORRECT	x + ( y \div 7 ) = 7 b	x + ( y \div 7 ) = 7 b
UN19_1003_em_36	WRONG	\sqrt { 2 } v 3 - \sqrt { 4 } v _ { 4 } - i	v _ { 2 } v _ { 3 } - v _ { 1 } v _ { 4 } = 1
ISICal19_1209_em_859	CORRECT	2 0 \div 3 0	2 0 \div 3 0
UN19wb_1103_em_924	CORRECT	\sqrt { a b }	\sqrt { a b }
ISICal19_1207_em_840	CORRECT	\sqrt { - M }	\sqrt { - M }
ISICal19_1205_em_811	WRONG	- \frac { 3 a 3 } { 3 8 ^ { 4 0 } }	- \frac { 3 9 3 } { 3 8 4 0 }
UN19_1048_em_703	CORRECT	\theta < \infty	\theta < \infty
UN19wb_1112_em_1053	WRONG	T 2 3 + 2 9	+ 2 3 + 2 9
UN19_1045_em_649	CORRECT	- 8 - \frac { 1 } { 8 }	- 8 - \frac { 1 } { 8 }
UN19_1025_em_358	WRONG	a ( k ) = \sin ( \pi + )	a ( t ) = \sin ( H t )
UN19wb_1117_em_1134	CORRECT	\frac { 1 } { 2 } \leq x \leq \frac { 3 } { 2 }	\frac { 1 } { 2 } \leq x \leq \frac { 3 } { 2 }
UN19wb_1105_em_947	CORRECT	\int d t	\int d t
UN19wb_1121_em_1192	WRONG	\sum _ { a = 1 } ^ { 4 } c a = 2 B + 4 F	\sum _ { a = 1 } ^ { 4 } C _ { a } = 2 B + 4 F
UN19_1032_em_463	WRONG	\pi x \times	\pi \times \pi
UN19_1035_em_496	CORRECT	y \geq a	y \geq a
UN19wb_1118_em_1143	CORRECT	2 + 4 + 4 + \ldots	2 + 4 + 4 + \ldots
ISICal19_1211_em_887	WRONG	C \rightarrow \alpha c	c \rightarrow \alpha c
UN19wb_1105_em_949	WRONG	\sqrt { B m }	\sqrt { \beta } m
UN19_1031_em_441	WRONG	x _ { a } b = x _ { a } - x _ { b }	x _ { a b } = x _ { a } - x _ { b }
UN19_1026_em_363	WRONG	e = \frac { b - 1 } { b + 1 }	c = \frac { b - 1 } { b + 1 }
UN19_1012_em_176	CORRECT	\frac { 1 } { \sqrt { 8 } }	\frac { 1 } { \sqrt { 8 } }
ISICal19_1203_em_786	CORRECT	x ^ { 2 } + y ^ { 3 } z + z ^ { 3 }	x ^ { 2 } + y ^ { 3 } z + z ^ { 3 }
UN19_1027_em_386	CORRECT	\frac { 1 } { \sqrt { 3 } }	\frac { 1 } { \sqrt { 3 } }
ISICal19_1202_em_776	CORRECT	1 + \sqrt { 2 }	1 + \sqrt { 2 }
UN19wb_1103_em_925	CORRECT	\sin \alpha = 0	\sin \alpha = 0
UN19_1051_em_742	CORRECT	H H	H H
UN19_1050_em_723	CORRECT	\frac { n } { 2 } + \frac { 5 } { 2 }	\frac { n } { 2 } + \frac { 5 } { 2 }
UN19_1021_em_289	WRONG	p \neq g	p \neq 9
UN19_1051_em_738	CORRECT	a - b	a - b
ISICal19_1207_em_844	CORRECT	\cos ( n z )	\cos ( n z )
UN19_1010_em_144	WRONG	x _ { a } ^ { 1 } x _ { b } ^ { 2 } x _ { 3 } ^ { 2 }	x _ { 1 } ^ { a } x _ { 2 } ^ { b } x _ { 3 } ^ { c }
UN19_1011_em_162	WRONG	f = n + 1 0	l = 1 \div 1 0
UN19_1027_em_375	CORRECT	- a < x < a	- a < x < a
ISICal19_1205_em_821	WRONG	s _ { n } n _ { 1 } \sin G _ { 2 } = 0	\sin \theta _ { 1 } \sin \theta _ { 2 } = 0
UN19_1046_em_660	WRONG	8 ( 1 9 6 1 ) 9 9	8 9 ( 1 9 6 1 ) 9
UN19wb_1119_em_1166	WRONG	9 ^ { 2 } = \tan \theta	q ^ { 2 } = \tan \theta
UN19_1003_em_33	WRONG	f \sin n \alpha	f \sin \alpha
UN19_1050_em_728	CORRECT	- n \leq t \leq n	- n \leq t \leq n
UN19wb_1103_em_921	WRONG	( \frac { 1 } { 0 } ( \frac { i } { 2 } )	( \frac { 1 } { 2 } \frac { 1 } { 2 } 0 0 )
UN19_1045_em_654	WRONG	\frac { 1 } { 3 1 1 }	\frac { 1 } { 3 ! 1 ! }
UN19_1021_em_288	WRONG	\frac { 3 } { x p ( x ) }	\frac { 3 } { x P ( x ) }
UN19_1017_em_229	WRONG	\sum 8 _ { n }	\sum f _ { n }
UN19wb_1118_em_1149	CORRECT	C t = t C	C t = t C
UN19_1047_em_687	WRONG	\frac { n } { \sqrt { a , 0 _ { 1 } }	\frac { n } { \sqrt { a _ { 1 } b _ { 1 } } }
UN19wb_1103_em_916	CORRECT	2 \pi \sin \alpha	2 \pi \sin \alpha
UN19_1037_em_538	WRONG	\frac { z } { 5 }	\frac { 3 } { 5 }
UN19_1023_em_325	CORRECT	\sqrt { - E }	\sqrt { - E }
UN19wb_1106_em_966	CORRECT	3 n - 3 + 1	3 n - 3 + 1
UN19_1009_em_125	CORRECT	\sqrt { - g }	\sqrt { - g }
UN19wb_1105_em_955	CORRECT	- \frac { c } { 2 } \times \frac { d x } { y }	- \frac { c } { 2 } \times \frac { d x } { y }
UN19_1015_em_205	CORRECT	\frac { 1 } { 2 } \sqrt { \frac { 5 } { 3 } }	\frac { 1 } { 2 } \sqrt { \frac { 5 } { 3 } }
UN19_1023_em_319	WRONG	a = \sqrt { \frac { 5 } { 0 } }	a = \sqrt { \frac { 5 } { 6 } }
UN19_1045_em_655	CORRECT	b c + c b	b c + c b
UN19_1048_em_690	CORRECT	\frac { \sqrt { p + 1 } } { 2 }	\frac { \sqrt { p + 1 } } { 2 }
UN19wb_1109_em_1010	WRONG	z = x ^ { 2 i + 2 + i x ^ { 2 i + 3 }	z = x ^ { 2 i + 2 } + i x ^ { 2 i + 3 }
UN19wb_1105_em_946	WRONG	\sin N m n	\sin m r
UN19_1046_em_661	WRONG	( H _ { 2 } ) ^ { \frac { 2 } { 3 } } ^ { \frac { 1 } { 3 } } ^ { \frac { 1 } { 3 } } = 1	H _ { ( 2 ) } ^ { \frac { 2 } { 3 } - \frac { 1 } { 3 } - \frac { 1 } { 3 } } = 1
ISICal19_1206_em_838	WRONG	e = \frac { 3 } { 2 } \sum x _ { i }	c = \frac { 3 } { 2 } \sum x _ { i }
