Test Year: 2019
Total: 1199, Correct: 0, ExpRate: 0.00%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN19wb_1118_em_1141	WRONG	2 ^ { 2 } { 2 } = 0	\frac { 7 7 7 } { 4 0 0 }
ISICal19_1211_em_885	WRONG	V = v _ { 2 }	t - x
UN19_1046_em_671	WRONG	\frac { \pi r ^ { 2 } h } { 2 }	b = - \frac { 3 } { 8 \sqrt { 7 } }
UN19wb_1110_em_1022	WRONG	\frac { a } { 2 }	\frac { 6 } { \sqrt { 7 } }
UN19_1029_em_411	WRONG	\frac { 1 } { 2 }	\frac { 1 } { c }
ISICal19_1205_em_814	WRONG	\frac { 1 } { 3 } \pi r ^ { 2 }	\sin ^ { 2 } { F }
ISICal19_1210_em_877	WRONG	\frac { 1 } { 2 } \pi r ^ { 2 }	\frac { 1 } { 2 } \times \frac { 1 } { 2 }
ISICal19_1209_em_856	WRONG	e _ { 0 }	e . g
UN19wb_1109_em_1005	WRONG	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }	x ^ { 1 } y ^ { 1 } = q y ^ { 1 } x ^ { 1 }
UN19wb_1113_em_1079	WRONG	\frac { 1 } { 2 }	\frac { 9 } { 7 }
UN19wb_1110_em_1020	WRONG	2 + 2	p \geq 7
ISICal19_1203_em_781	WRONG	\sqrt { b ^ { 2 } - 4 a c }	\sqrt { n m }
UN19wb_1103_em_923	WRONG	\sqrt { \sqrt { \sqrt { 4 } } } }	\sqrt { \frac { k } { n } }
UN19_1038_em_542	WRONG	\frac { 1 } { 5 }	\frac { 5 } { 4 }
UN19wb_1111_em_1045	WRONG	u _ { n } = m _ { n - 1 }	\tan o = q \div p
ISICal19_1205_em_819	WRONG	\int e ^ { x ^ { 2 }	\int { d } ^ { 4 } x
UN19wb_1105_em_951	WRONG	x = r \cos \theta	x = \tan \theta
UN19wb_1117_em_1127	WRONG	\frac { p } { n }	\frac { 1 } { \sqrt { 3 } }
UN19wb_1120_em_1178	WRONG	2 ^ { 2 } = 2 ^ { 2 }	\tan \beta = 2
UN19wb_1108_em_1004	WRONG	\frac { 1 } { 3 } \pi r ^ { 3 }	\frac { { 2 5 } } { { 9 6 } } \frac { { \sqrt { \pi } } } { { R ^ { 3 } } }
UN19wb_1111_em_1038	WRONG	\sin ^ { 2 } + \cos ^ { 2 } = 1	8 x ^ { 4 } - 8 x ^ { 2 } + 1
UN19_1010_em_143	WRONG	1 + \pi r ^ { 2 }	k + x
UN19_1028_em_390	WRONG	y _ { 0 } = y _ { 0 }	d y y
UN19wb_1110_em_1025	WRONG	1 + 1	+ 7 8
UN19wb_1121_em_1199	WRONG	| a - b | \leq | a - c | + | c - b |	1 . 0 7 3 7 + 1 . 2 2 2 7
UN19_1002_em_17	WRONG	F _ { n } = F _ { n - 1 } + F _ { n - 1 }	E F + E E E
UN19_1025_em_348	WRONG	q ^ { i }	\frac { 9 } { 2 }
UN19wb_1111_em_1036	WRONG	a _ { n } = a _ { n }	a = \sin \theta
UN19_1049_em_707	WRONG	q ^ { 2 }	q y x
UN19_1031_em_435	WRONG	a _ { n } = a _ { n }	\cos ^ { 2 } \alpha
UN19_1046_em_664	WRONG	\frac { x } { a + \frac { x } { b - \frac { x } { c } } }	\frac { 1 } { x _ { 4 } - x _ { 1 } }
UN19_1026_em_374	WRONG	\frac { 1 } { 2 } \pi r ^ { 2 }	\frac { 1 } { 2 } \times \frac 1 2
UN19_1050_em_732	WRONG	x _ { 1 } = 1	x \in A
UN19_1008_em_109	WRONG	\cos ^ { 2 } ( x )	\cos \pi j
UN19_1018_em_247	WRONG	\frac { 1 } { 3 } \pi r ^ { 3 } }	\frac { y ^ { a } _ { n } } { y ^ { b } _ { n } }
UN19_1020_em_283	WRONG	\frac { i } { i }	\frac { 6 } { 7 }
UN19wb_1115_em_1103	WRONG	\frac { 1 } { 2 }	\frac { + 1 } { \sqrt { 2 } }
ISICal19_1201_em_757	WRONG	\frac { 1 } { 1 0 0 0 }	- \frac { 6 4 6 } { 9 }
UN19wb_1105_em_956	WRONG	\sqrt { \sqrt { 2 } } }	\frac { e } { \sqrt { 2 \pi } }
UN19_1007_em_104	WRONG	a _ { n } = a _ { n }	\cos z _ { 0 }
UN19wb_1111_em_1044	WRONG	\frac { 1 } { 3 } \pi r ^ { 2 }	a \geq - \frac { 1 } { 4 }
UN19wb_1119_em_1158	WRONG	t _ { 1 } = 1	b = - \int g
UN19_1026_em_360	WRONG	\frac { 5 } { 3 } \pi r ^ { 2 }	- \frac { 5 2 } { 4 5 }
UN19_1048_em_698	WRONG	\sum _ { n } ^ { n }	\sum _ { n } n ^ { - 1 }
UN19wb_1115_em_1104	WRONG	a ^ { 2 }	c < c _ { c r }
UN19wb_1120_em_1175	WRONG	\frac { 1 } { 2 } \pi r ^ { 2 }	\frac { n } { 2 } + \frac { 3 } { 2 }
UN19_1013_em_184	WRONG	v _ { v }	t r
UN19_1040_em_581	WRONG	7 . 7	\frac { 1 } { 7 }
ISICal19_1201_em_762	WRONG	\frac { \pi r ^ { 5 } { 3 + 1 }	\frac { \sqrt [ 3 ] { 7 } } { 4 }
UN19wb_1112_em_1057	WRONG	x = r \cos \theta	n { \times } n
UN19_1048_em_697	WRONG	\theta = r \cos \theta	- \cos \theta
ISICal19_1206_em_829	WRONG	\frac { p } { 0 }	\frac { \infty } { \infty }
ISICal19_1210_em_875	WRONG	x _ { 1 } + x _ { 2 } = x _ { 1 }	x \rightarrow x + x ^ { c l }
ISICal19_1205_em_810	WRONG	a _ { n } = a _ { n } ( n _ { n } )	A = \sum _ { x } m _ { x } ( x )
UN19_1024_em_343	WRONG	\frac { 3 } { 3 }	\frac { 5 } { 3 }
UN19_1050_em_733	WRONG	a ^ { - 1 }	a \neq - b
UN19wb_1103_em_918	WRONG	b ^ { b ^ { c ^ { 2 } } }	0 \leq x \leq \frac { 1 } { 4 }
UN19_1050_em_726	WRONG	3 . 9	3 \ldots 9
UN19_1050_em_729	WRONG	\sqrt { b ^ { 2 } - 4 a c }	b = \sqrt { a }
UN19_1007_em_94	WRONG	\frac { 1 } { 2 }	\frac { 4 } { 7 }
UN19wb_1105_em_948	WRONG	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }	u = \frac { a z + b } { c z + d }
UN19wb_1119_em_1161	WRONG	( x ) ^ { 3 }	9 + 1 1 + 1 3
UN19_1042_em_602	WRONG	( x ^ { 2 } - 1 )	\sin ( n v )
UN19wb_1109_em_1014	WRONG	\frac { b ^ { 2 } - 4 a c }	b = \frac { 1 } { \sqrt { 1 - 4 c } }
UN19wb_1107_em_987	WRONG	\frac { \beta + \gamma } { n }	\frac { - 3 } { \sqrt { 3 6 0 } }
UN19wb_1121_em_1193	WRONG	a x ^ { 4 } + b x + c = 0	a p = \sin ( a E ) v
UN19wb_1117_em_1129	WRONG	2 ^ { 2 }	B = C
UN19wb_1110_em_1034	WRONG	\int e ^ { x ^ { 2 } }	\int p d x
ISICal19_1205_em_815	WRONG	\sqrt { \sqrt { f } }	\sqrt { 3 \alpha }
UN19_1008_em_114	WRONG	( x _ { 1 } , \ldots , p _ { n } )	( x ^ { 8 } - x ^ { 9 } )
UN19wb_1108_em_993	WRONG	x _ { 1 } = x _ { 3 }	x ^ { 4 } - x ^ { 5 }
UN19_1019_em_266	WRONG	f _ { 1 }	I H
UN19wb_1107_em_988	WRONG	x _ { 1 } = x _ { 2 }	x y = q y x
UN19_1026_em_369	WRONG	\sqrt { b ^ { 2 } - 4 a c }	\sqrt { 1 + z ^ { 2 } }
UN19wb_1113_em_1066	WRONG	u _ { 0 } = 1	\cos { \alpha } = 1
UN19_1017_em_225	WRONG	\frac { \theta } { \theta }	\frac { w } { w }
UN19_1024_em_344	WRONG	e ^ { 2 }	\frac { 8 } { 7 }
UN19_1047_em_679	WRONG	f ^ { f }	\int d X
UN19_1021_em_286	WRONG	x _ { 1 }	x - t
UN19_1026_em_373	WRONG	\sqrt { b ^ { 2 } - 4 a c }	r = \sqrt { x ^ { a } x ^ { a } }
UN19wb_1111_em_1042	WRONG	\sqrt { b ^ { 2 } - 4 a c }	r = \sqrt { y ^ { a } y ^ { a } }
UN19_1007_em_97	WRONG	\sqrt { \sqrt { \sqrt { 4 } } } }	\sqrt { \frac { 1 } { n + 1 } }
UN19wb_1109_em_1011	WRONG	a = b \cos C + c \cos B	c _ { b } = - \sin \pi \alpha
UN19_1008_em_118	WRONG	\tan ( \frac { \pi } { 2 } ) = 1	\tan ( \theta ) = 1
UN19_1002_em_23	WRONG	9 . 5	g + B
UN19_1030_em_431	WRONG	x _ { 1 } = x _ { 3 }	x ^ { 8 } - x ^ { 9 }
UN19_1025_em_351	WRONG	\frac { n } { 2 }	\frac { 1 } { \sqrt { 2 } }
UN19wb_1116_em_1118	WRONG	\frac { 1 } { 3 } \pi r ^ { 3 }	\sum _ { b } I _ { a b }
ISICal19_1210_em_871	WRONG	x = r \cos \theta	- a < b \leq a
UN19_1011_em_159	WRONG	\int x ^ { x }	\int d B
UN19_1048_em_701	WRONG	x ^ { 2 } + y ^ { 2 }	x y x ^ { - 1 } y ^ { - 1 }
UN19_1038_em_551	WRONG	x _ { 1 } ( x )	x \in Y
ISICal19_1206_em_839	WRONG	a _ { 1 } = a _ { 2 }	c \rightarrow c + d a
UN19wb_1110_em_1031	WRONG	1 + \frac { 2 } { 2 }	\frac { 1 } { 2 } \frac { 1 } { 2 } \frac { 1 } { 2 }
UN19_1007_em_96	WRONG	\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x	\sum _ { r = 1 } ^ { r _ { m a x } } \frac 1 { r }
UN19_1033_em_477	WRONG	p _ { n }	i \ldots n
UN19wb_1112_em_1052	WRONG	u _ { 1 } = x _ { 2 }	\sin ^ { 2 } u
UN19_1026_em_370	WRONG	0 . 0	G \times G
UN19_1048_em_694	WRONG	\frac { 1 } { 2 }	\frac { - 1 } { \sqrt { 2 } }
UN19_1022_em_303	WRONG	\frac { \pi r ^ { 2 } h } { 3 }	\frac { 1 7 9 } { 4 8 }
UN19_1007_em_93	WRONG	x _ { 1 } - x _ { 2 } = x _ { 3 }	x \rightarrow x + i y
ISICal19_1210_em_882	WRONG	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }	v ( x ) = x + f _ { 1 } x ^ { 2 } + \ldots
UN19wb_1110_em_1032	WRONG	1 3 + \pi r ^ { 2 }	\sin \beta _ { n } x
ISICal19_1211_em_895	WRONG	a ^ { x } + b ^ { x } + \frac { c } { 2 }	a + \frac { 1 } { 2 } \geq \frac { 1 } { 2 }
UN19_1028_em_391	WRONG	\frac { \pi r ^ { 2 } h } { 2 }	\frac { 8 9 9 } { 5 2 8 }
UN19_1046_em_672	WRONG	f ( x ) = a ^ { 2 } { 2 } { 2 }	d x + 2 l \cos { y } d z
UN19_1042_em_604	WRONG	x _ { 1 } = x _ { 2 }	\sin L t
ISICal19_1211_em_889	WRONG	2 ^ { 2 } + 2 ^ { 2 }	- \frac { 1 } { 2 } \log 2
UN19wb_1103_em_922	WRONG	\frac { 1 } { r ^ { 2 } }	\pm \frac { 1 } { \sqrt { 2 4 } }
UN19_1015_em_200	WRONG	\frac { 1 } { 3 } \pi r ^ { 3 }	b _ { a b } n ^ { a } n ^ { b }
UN19wb_1108_em_996	WRONG	\sum _ { n } = \sum _ { k = 1 } ^ { n } a _ { n }	C = \sum _ { n = 1 } c _ { n } n ^ { 2 }
ISICal19_1203_em_792	WRONG	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }	f = f _ { a } + f _ { b } + f _ { c }
UN19_1022_em_311	WRONG	\int \sqrt { 3 }	\int R \sqrt { g }
UN19_1048_em_696	WRONG	\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }	- \frac { 4 4 8 3 } { 9 4 5 }
UN19wb_1103_em_920	WRONG	V = a \cdot b \cdot c	t = p \tan \theta
UN19wb_1115_em_1106	WRONG	\int ( 2 ^ { x } - 3 e ^ { x } ) d x	\int d y \int d x
UN19_1026_em_364	WRONG	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C	a _ { 1 } + a _ { 2 } + a _ { 3 } + a _ { 6 }
UN19wb_1120_em_1171	WRONG	e _ { 1 } = u _ { n - 1 }	z = \tan \mu
UN19wb_1104_em_940	WRONG	\lim _ { n \rightarrow \infty } \frac { 1 } { n ^ { n } } = 0	\lim _ { r \rightarrow \infty } w = 0
ISICal19_1201_em_752	WRONG	2 ^ { 2 } - 2 ^ { 2 }	z ( \log z ) ^ { n }
ISICal19_1207_em_852	WRONG	x ^ { 2 } = c ^ { 2 }	\sin E t
UN19_1045_em_656	WRONG	V = a \cdot b \cdot c	\forall i , k
ISICal19_1207_em_849	WRONG	2 ^ { 2 } + y ^ { 2 }	n ! k !
UN19wb_1119_em_1165	WRONG	f _ { 2 } = \frac { 2 } - e ^ { 2 } { 2 } = 1	e \sin \frac { \theta } { 2 } = 1
UN19wb_1116_em_1122	WRONG	\sqrt { \sqrt { \sqrt { c ^ { 2 } } }	\sqrt { \frac { p + 1 } { 2 } }
UN19_1046_em_666	WRONG	f ( x ) = f ( z )	f _ { x } = x - [ x ]
UN19_1025_em_356	WRONG	u _ { 1 } ( x )	a - b + c - d
UN19_1047_em_686	WRONG	\cos ^ { 2 } + \cos ^ { 2 } ( x )	a ^ { a } ( x ) a _ { a } ( x )
UN19wb_1121_em_1188	WRONG	2 ^ { 2 } ( x )	z = \int d y a ^ { - 1 } ( y )
UN19_1018_em_245	WRONG	u _ { 1 } = v _ { 0 }	v ^ { a } v ^ { b }
UN19_1003_em_42	WRONG	\frac { 1 } { 3 } \pi r ^ { 3 }	- \frac { 1 } { 2 \sqrt { 3 } }
UN19_1048_em_699	WRONG	\sqrt { 5 } = \frac { 5 } { 3 }	\alpha \rightarrow \frac { \alpha } { 2 } \sqrt { \frac { 5 } { 3 } }
ISICal19_1203_em_788	WRONG	x _ { 1 } + x _ { 2 } = x _ { 3 }	x + ( y \div 7 ) = 7 b
UN19_1003_em_36	WRONG	x ^ { 2 } = x ^ { 2 } + 2 ^ { 2 }	v _ { 2 } v _ { 3 } - v _ { 1 } v _ { 4 } = 1
ISICal19_1209_em_859	WRONG	x _ { 2 } = x _ { 0 }	2 0 \div 3 0
UN19wb_1103_em_924	WRONG	\sqrt { u }	\sqrt { a b }
ISICal19_1207_em_840	WRONG	\sqrt { n }	\sqrt { - M }
ISICal19_1205_em_811	WRONG	\frac { \pi r ^ { 2 } h } { 3 }	- \frac { 3 9 3 } { 3 8 4 0 }
UN19_1048_em_703	WRONG	6 . 6	\theta < \infty
UN19wb_1112_em_1053	WRONG	2 ^ { 2 } - 1 = 3	+ 2 3 + 2 9
UN19_1045_em_649	WRONG	2 ^ { 2 } = 0	- 8 - \frac { 1 } { 8 }
UN19_1025_em_358	WRONG	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )	a ( t ) = \sin ( H t )
UN19wb_1117_em_1134	WRONG	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }	\frac { 1 } { 2 } \leq x \leq \frac { 3 } { 2 }
UN19wb_1105_em_947	WRONG	\int e ^ { 2 }	\int d t
UN19wb_1121_em_1192	WRONG	\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x	\sum _ { a = 1 } ^ { 4 } C _ { a } = 2 B + 4 F
UN19_1032_em_463	WRONG	1 + \pi r ^ { 2 }	\pi \times \pi
UN19_1035_em_496	WRONG	y = c ^ { 2 }	y \geq a
UN19wb_1118_em_1143	WRONG	2 ^ { 2 } + 2 ^ { 2 }	2 + 4 + 4 + \ldots
ISICal19_1211_em_887	WRONG	a _ { 2 } = a _ { 2 }	c \rightarrow \alpha c
UN19wb_1105_em_949	WRONG	\sqrt { b ^ { 2 } - 4 a c }	\sqrt { \beta } m
UN19_1031_em_441	WRONG	x _ { 1 } = x _ { 2 } = x _ { 3 }	x _ { a b } = x _ { a } - x _ { b }
UN19_1026_em_363	WRONG	\frac { \pi r ^ { 2 } h } { 3 }	c = \frac { b - 1 } { b + 1 }
UN19_1012_em_176	WRONG	\frac { 1 } { n }	\frac { 1 } { \sqrt { 8 } }
ISICal19_1203_em_786	WRONG	x _ { 1 } + x _ { 2 } = x _ { 3 }	x ^ { 2 } + y ^ { 3 } z + z ^ { 3 }
UN19_1027_em_386	WRONG	\frac { 1 } { 3 }	\frac { 1 } { \sqrt { 3 } }
ISICal19_1202_em_776	WRONG	k = \sqrt { 2 }	1 + \sqrt { 2 }
UN19wb_1103_em_925	WRONG	1 0 ^ { 2 } = 0	\sin \alpha = 0
UN19_1051_em_742	WRONG	7 . 4	H H
UN19_1050_em_723	WRONG	\frac { 1 } { 2 } \pi r ^ { 2 }	\frac { n } { 2 } + \frac { 5 } { 2 }
UN19_1021_em_289	WRONG	u _ { 1 } = 1	p \neq 9
UN19_1051_em_738	WRONG	9 . 9	a - b
ISICal19_1207_em_844	WRONG	a _ { n } , \ldots , e _ { n } )	\cos ( n z )
UN19_1010_em_144	WRONG	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }	x _ { 1 } ^ { a } x _ { 2 } ^ { b } x _ { 3 } ^ { c }
UN19_1011_em_162	WRONG	u _ { 0 } = 0	l = 1 \div 1 0
UN19_1027_em_375	WRONG	x = r \cos \theta	- a < x < a
ISICal19_1205_em_821	WRONG	\sin x - \sin y - \sin ( x - y )	\sin \theta _ { 1 } \sin \theta _ { 2 } = 0
UN19_1046_em_660	WRONG	x ^ { 2 } ( x ) = x ^ { 3 }	8 9 ( 1 9 6 1 ) 9
UN19wb_1119_em_1166	WRONG	a _ { 1 } = a _ { 2 }	q ^ { 2 } = \tan \theta
UN19_1003_em_33	WRONG	1 0 ^ { 2 }	f \sin \alpha
UN19_1050_em_728	WRONG	2 ^ { 2 } + 2 ^ { 2 }	- n \leq t \leq n
UN19wb_1103_em_921	WRONG	V = a \cdot b \cdot c	( \frac { 1 } { 2 } \frac { 1 } { 2 } 0 0 )
UN19_1045_em_654	WRONG	\frac { 1 } { x _ { 3 } }	\frac { 1 } { 3 ! 1 ! }
UN19_1021_em_288	WRONG	\sum _ { n } ( x )	\frac { 3 } { x P ( x ) }
UN19_1017_em_229	WRONG	\sum _ { n }	\sum f _ { n }
UN19wb_1118_em_1149	WRONG	F _ { 1 } + F _ { 2 }	C t = t C
UN19_1047_em_687	WRONG	\sqrt [ n ] { \frac { \frac { x } { b - \frac { x } { c } } }	\frac { n } { \sqrt { a _ { 1 } b _ { 1 } } }
UN19wb_1103_em_916	WRONG	x _ { 1 } = x _ { 2 }	2 \pi \sin \alpha
UN19_1037_em_538	WRONG	\frac { 3 } { 3 }	\frac { 3 } { 5 }
UN19_1023_em_325	WRONG	\sqrt { E }	\sqrt { - E }
