Test Year: 2014
Total: 985, Correct: 759, ExpRate: 77.06%
----------------------------------------
Image	Status	Prediction	GroundTruth
37_em_16	CORRECT	8 \sqrt { 5 }	8 \sqrt { 5 }
27_em_108	CORRECT	0 + A	0 + A
RIT_2014_9	WRONG	\log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log \log	\log
501_em_1	CORRECT	\sqrt { 5 0 }	\sqrt { 5 0 }
501_em_5	CORRECT	\sqrt { 5 0 }	\sqrt { 5 0 }
518_em_433	CORRECT	M ^ { n }	M ^ { n }
37_em_11	CORRECT	w ^ { - 2 }	w ^ { - 2 }
RIT_2014_156	CORRECT	- 1	- 1
RIT_2014_114	CORRECT	i \neq 1	i \neq 1
RIT_2014_154	CORRECT	\frac { 1 } { 9 }	\frac { 1 } { 9 }
RIT_2014_89	CORRECT	r \geq 1	r \geq 1
518_em_415	CORRECT	l u _ { 1 }	l u _ { 1 }
502_em_9	CORRECT	\beta = 1	\beta = 1
RIT_2014_34	CORRECT	B F F S	B F F S
516_em_393	CORRECT	N m	N m
514_em_330	CORRECT	k g	k g
511_em_255	CORRECT	[ A ] A	[ A ] A
37_em_15	CORRECT	u \geq 0	u \geq 0
512_em_297	CORRECT	a l l z	a l l z
519_em_463	CORRECT	P _ { 0 }	P _ { 0 }
518_em_436	CORRECT	E ( c )	E ( c )
36_em_38	CORRECT	2 4 \pi	2 4 \pi
37_em_29	CORRECT	\sum F _ { x }	\sum F _ { x }
RIT_2014_246	CORRECT	7 5 8 8	7 5 8 8
RIT_2014_131	CORRECT	\sqrt { 9 1 }	\sqrt { 9 1 }
516_em_383	CORRECT	r ( x )	r ( x )
18_em_16	CORRECT	m \geq 2	m \geq 2
20_em_45	CORRECT	\sqrt { C _ { n } }	\sqrt { C _ { n } }
18_em_1	CORRECT	\sqrt { 4 8 }	\sqrt { 4 8 }
20_em_41	CORRECT	9 / 5	9 / 5
511_em_250	CORRECT	r o t	r o t
34_em_226	CORRECT	t - s	t - s
34_em_227	CORRECT	6 5 8 8	6 5 8 8
512_em_289	CORRECT	\frac { 1 } { 8 }	\frac { 1 } { 8 }
RIT_2014_311	CORRECT	\int y d x	\int y d x
RIT_2014_110	WRONG	f _ { 7 } ^ { 7 }	f _ { a } ^ { 7 }
RIT_2014_285	WRONG	m l l i	m i l l i
504_em_44	CORRECT	8 _ { 1 6 }	8 _ { 1 6 }
512_em_275	CORRECT	3 m	3 m
35_em_20	CORRECT	\sqrt { 3 8 }	\sqrt { 3 8 }
37_em_25	WRONG	\sqrt [ b ] { x }	\sqrt [ x ] { b }
RIT_2014_93	CORRECT	y > z	y > z
23_em_65	CORRECT	f ( n - 1 )	f ( n - 1 )
RIT_2014_36	CORRECT	A + A = A	A + A = A
36_em_37	CORRECT	- f ( - x )	- f ( - x )
512_em_288	CORRECT	2 m	2 m
32_em_212	CORRECT	q - \sqrt { 2 }	q - \sqrt { 2 }
RIT_2014_250	CORRECT	R _ { r l }	R _ { r l }
RIT_2014_219	CORRECT	m / q	m / q
511_em_273	CORRECT	x = \beta	x = \beta
517_em_402	CORRECT	\frac { p } { q }	\frac { p } { q }
513_em_319	CORRECT	x > A	x > A
23_em_56	CORRECT	9 + 2	9 + 2
RIT_2014_118	CORRECT	a \neq b	a \neq b
37_em_13	CORRECT	8 0 ^ { o }	8 0 ^ { o }
502_em_2	CORRECT	4 9 2	4 9 2
RIT_2014_76	CORRECT	t \rightarrow \infty	t \rightarrow \infty
RIT_2014_291	CORRECT	\mu m	\mu m
RIT_2014_132	CORRECT	1 m	1 m
RIT_2014_41	CORRECT	- \sqrt { 3 }	- \sqrt { 3 }
29_em_150	CORRECT	6 0 ^ { o }	6 0 ^ { o }
RIT_2014_65	CORRECT	G \times H	G \times H
506_em_59	CORRECT	y \in B	y \in B
31_em_189	CORRECT	x . y	x . y
RIT_2014_50	CORRECT	\sqrt { x ^ { 5 } }	\sqrt { x ^ { 5 } }
36_em_44	CORRECT	p \geq 1	p \geq 1
37_em_27	CORRECT	\alpha , \beta	\alpha , \beta
RIT_2014_269	WRONG	B ^ { - 1 }	B B ^ { - 1 }
RIT_2014_187	CORRECT	1 m	1 m
518_em_423	CORRECT	u _ { m }	u _ { m }
37_em_7	CORRECT	\cos 6 \theta	\cos 6 \theta
36_em_46	CORRECT	x \neq 4	x \neq 4
517_em_406	CORRECT	\sum b _ { n }	\sum b _ { n }
36_em_28	CORRECT	1 2 \div 3	1 2 \div 3
36_em_47	CORRECT	7 0 ^ { o }	7 0 ^ { o }
516_em_395	CORRECT	n \neq 0	n \neq 0
32_em_215	CORRECT	m ^ { 3 }	m ^ { 3 }
512_em_285	CORRECT	X _ { n } ^ { 2 }	X _ { n } ^ { 2 }
513_em_310	CORRECT	8 + 7	8 + 7
505_em_52	CORRECT	o r 1	o r 1
RIT_2014_82	CORRECT	s _ { 2 }	s _ { 2 }
511_em_271	CORRECT	f + g	f + g
513_em_305	CORRECT	\cos ( \beta )	\cos ( \beta )
515_em_360	WRONG	C ^ { \alpha } C ^ { \alpha }	C ^ { \alpha }
RIT_2014_115	CORRECT	G _ { e q }	G _ { e q }
RIT_2014_40	CORRECT	c o d	c o d
509_em_90	CORRECT	\pm \sqrt { 6 }	\pm \sqrt { 6 }
RIT_2014_61	CORRECT	0 . 0 8 7 8	0 . 0 8 7 8
34_em_241	CORRECT	\phi ( \phi ( n ) )	\phi ( \phi ( n ) )
RIT_2014_78	CORRECT	\pm \theta _ { 0 }	\pm \theta _ { 0 }
36_em_35	CORRECT	z _ { 1 } z _ { 2 }	z _ { 1 } z _ { 2 }
RIT_2014_277	CORRECT	m , n	m , n
RIT_2014_54	CORRECT	z < p	z < p
501_em_13	CORRECT	y < y \prime	y < y \prime
500_em_108	CORRECT	s \geq 1	s \geq 1
RIT_2014_140	CORRECT	\sum a _ { n }	\sum a _ { n }
31_em_176	CORRECT	( \frac { \pi } { \sqrt { 2 } } )	( \frac { \pi } { \sqrt { 2 } } )
35_em_1	CORRECT	E P E	E P E
35_em_10	CORRECT	g _ { a b }	g _ { a b }
26_em_91	CORRECT	k [ a ^ { - 1 } ]	k [ a ^ { - 1 } ]
510_em_102	CORRECT	m v	m v
515_em_368	CORRECT	I m	I m
506_em_60	CORRECT	b a g _ { 1 }	b a g _ { 1 }
518_em_421	CORRECT	\sum F _ { y }	\sum F _ { y }
32_em_214	CORRECT	\int c d x	\int c d x
RIT_2014_275	CORRECT	s \neq 1	s \neq 1
512_em_282	CORRECT	\sqrt [ 3 ] { x ^ { 2 } }	\sqrt [ 3 ] { x ^ { 2 } }
511_em_253	CORRECT	X _ { f g }	X _ { f g }
RIT_2014_169	WRONG	\beta _ { \beta + 1 } j	\beta _ { j + 1 }
23_em_71	CORRECT	c T ^ { \prime }	c T ^ { \prime }
RIT_2014_99	CORRECT	\frac { 1 } { 9 }	\frac { 1 } { 9 }
26_em_76	CORRECT	- m p	- m p
27_em_122	WRONG	\pm \sqrt { x } \pm \sqrt { b }	\pm \sqrt [ x ] { b }
518_em_418	CORRECT	r \times n	r \times n
27_em_103	CORRECT	\exists y \exists x F	\exists y \exists x F
32_em_206	CORRECT	[ [ S ] ]	[ [ S ] ]
RIT_2014_281	CORRECT	1 0 0 , 0 0 0	1 0 0 , 0 0 0
513_em_302	CORRECT	c \geq b	c \geq b
RIT_2014_35	CORRECT	\theta + c	\theta + c
512_em_291	CORRECT	2 . 9 9 9 9	2 . 9 9 9 9
514_em_337	WRONG	V ^ { - 1 }	V V ^ { - 1 }
RIT_2014_261	CORRECT	d \neq 0	d \neq 0
503_em_32	CORRECT	F \neq H	F \neq H
RIT_2014_16	CORRECT	\sqrt { 2 } + \sqrt { 8 }	\sqrt { 2 } + \sqrt { 8 }
515_em_354	CORRECT	4 \sqrt { 3 }	4 \sqrt { 3 }
516_em_376	CORRECT	2 ^ { - 4 }	2 ^ { - 4 }
34_em_248	CORRECT	q _ { i } + a	q _ { i } + a
37_em_28	CORRECT	\sum F _ { z } = 0	\sum F _ { z } = 0
RIT_2014_100	CORRECT	a \geq b	a \geq b
RIT_2014_292	CORRECT	x - 8	x - 8
34_em_245	CORRECT	r \rightarrow \infty	r \rightarrow \infty
34_em_228	CORRECT	- y - 5 ( 1 )	- y - 5 ( 1 )
RIT_2014_271	WRONG	\log _ { N } N	\log _ { u } N
RIT_2014_143	WRONG	| x | y | = | x y |	| x | | y | = | x y |
32_em_216	CORRECT	g ( y ) - g ( x )	g ( y ) - g ( x )
20_em_32	CORRECT	\frac { \pi } { 3 }	\frac { \pi } { 3 }
501_em_16	CORRECT	N _ { X Y }	N _ { X Y }
501_em_17	CORRECT	\mu \pm \sigma	\mu \pm \sigma
26_em_85	CORRECT	\log _ { u } g	\log _ { u } g
RIT_2014_302	CORRECT	\pm \sqrt { \frac { 1 5 } { 1 6 } }	\pm \sqrt { \frac { 1 5 } { 1 6 } }
511_em_252	CORRECT	n ( - 1 ) ^ { n }	n ( - 1 ) ^ { n }
511_em_260	CORRECT	\int I d t	\int I d t
37_em_10	CORRECT	\frac { X } { V }	\frac { X } { V }
26_em_86	CORRECT	\log _ { a } x	\log _ { a } x
RIT_2014_238	CORRECT	r ^ { - k }	r ^ { - k }
503_em_25	CORRECT	\sum Y _ { i }	\sum Y _ { i }
RIT_2014_195	WRONG	\sqrt [ \sqrt [ n ] { x } }	\sqrt [ m ] { \sqrt [ n ] { x } }
18_em_4	CORRECT	e ^ { - n }	e ^ { - n }
32_em_221	CORRECT	n \geq N	n \geq N
23_em_69	CORRECT	X \leq 1 5	X \leq 1 5
23_em_55	CORRECT	\sqrt { 1 1 3 }	\sqrt { 1 1 3 }
29_em_157	CORRECT	y = y \prime	y = y \prime
27_em_119	CORRECT	6 7 7 8	6 7 7 8
35_em_5	CORRECT	E / [ E , E ]	E / [ E , E ]
RIT_2014_198	WRONG	| x | y | = | x y |	| x | | y | = | x y |
20_em_44	CORRECT	8 c m	8 c m
509_em_91	CORRECT	\mu < 6	\mu < 6
36_em_42	CORRECT	m \times p	m \times p
RIT_2014_310	CORRECT	y \leq z	y \leq z
RIT_2014_39	CORRECT	\sqrt { - 4 }	\sqrt { - 4 }
RIT_2014_303	CORRECT	p \geq 3	p \geq 3
514_em_333	CORRECT	\beta _ { n + 1 }	\beta _ { n + 1 }
RIT_2014_125	CORRECT	z + w	z + w
RIT_2014_53	CORRECT	| a b | = | a | \cdot | b |	| a b | = | a | \cdot | b |
RIT_2014_121	CORRECT	f ( z ) = z	f ( z ) = z
512_em_299	CORRECT	p ( 1 - p )	p ( 1 - p )
514_em_346	CORRECT	m ^ { 2 }	m ^ { 2 }
28_em_136	CORRECT	\pi _ { t + 1 }	\pi _ { t + 1 }
RIT_2014_280	CORRECT	\sqrt { 9 } + \sqrt { 1 6 }	\sqrt { 9 } + \sqrt { 1 6 }
RIT_2014_270	CORRECT	c \neq 2	c \neq 2
28_em_146	CORRECT	\frac { 1 9 9 } { 1 1 }	\frac { 1 9 9 } { 1 1 }
512_em_281	CORRECT	\frac { p } { t }	\frac { p } { t }
RIT_2014_152	CORRECT	4 4 - \frac { 4 } { 4 }	4 4 - \frac { 4 } { 4 }
518_em_432	CORRECT	q \geq 1	q \geq 1
516_em_399	CORRECT	\frac { 3 } { 8 }	\frac { 3 } { 8 }
504_em_37	CORRECT	| y _ { 2 } - y _ { 1 } |	| y _ { 2 } - y _ { 1 } |
32_em_207	CORRECT	\int - \cos \phi d \phi	\int - \cos \phi d \phi
23_em_50	CORRECT	d ^ { - 7 }	d ^ { - 7 }
505_em_49	CORRECT	1 \sqrt { 7 } + 2 \sqrt { 7 }	1 \sqrt { 7 } + 2 \sqrt { 7 }
513_em_324	CORRECT	\sqrt { a } + \sqrt { b }	\sqrt { a } + \sqrt { b }
RIT_2014_11	CORRECT	n _ { N } = N _ { N }	n _ { N } = N _ { N }
35_em_19	CORRECT	2 \div 3	2 \div 3
26_em_79	CORRECT	- a + b + c	- a + b + c
RIT_2014_245	CORRECT	b ^ { 3 } - 3 / 2 b	b ^ { 3 } - 3 / 2 b
29_em_170	CORRECT	E ( t ) \leq E ( 0 )	E ( t ) \leq E ( 0 )
RIT_2014_69	WRONG	\sqrt { \frac { 1 + x } { 1 - x }	\sqrt { \frac { 1 + x } { 1 - x } } = \sqrt { \frac { 1 + x } { 1 + x } \frac { 1 + x } { 1 - x } } = \frac { 1 + x } { \sqrt { 1 - x ^ { 2 } } }
RIT_2014_90	CORRECT	m \geq 1	m \geq 1
515_em_358	CORRECT	f ( t ) g ( t )	f ( t ) g ( t )
515_em_370	CORRECT	x _ { B 5 }	x _ { B 5 }
RIT_2014_127	WRONG	q _ { q } = q _ { 1 } q _ { 2 }	q _ { = } q _ { 1 } q _ { 2 }
36_em_34	CORRECT	\sqrt { 2 } \sqrt { 2 } = 2	\sqrt { 2 } \sqrt { 2 } = 2
515_em_351	CORRECT	1 = 1 ( 1 ) ( 1 )	1 = 1 ( 1 ) ( 1 )
501_em_22	CORRECT	\forall \gamma \in X	\forall \gamma \in X
512_em_287	CORRECT	\sqrt { 1 7 } \div \sqrt { 5 }	\sqrt { 1 7 } \div \sqrt { 5 }
RIT_2014_106	CORRECT	\sin 6 \theta	\sin 6 \theta
506_em_64	CORRECT	\sqrt { 7 } + 2 \sqrt { 7 }	\sqrt { 7 } + 2 \sqrt { 7 }
RIT_2014_257	WRONG	\frac { 1 } { 3 } \sqrt { 3 }	\frac { 1 1 } { 3 } \sqrt { 3 }
20_em_47	CORRECT	5 3 9 5	5 3 9 5
RIT_2014_31	CORRECT	y ^ { 2 } , \sqrt { y } \cos y	y ^ { 2 } , \sqrt { y } \cos y
RIT_2014_129	WRONG	\int _ { a } ^ { b } f d \alpha	\int _ { 2 } ^ { b } f d \alpha
23_em_73	CORRECT	B _ { m + 1 }	B _ { m + 1 }
RIT_2014_124	CORRECT	\pi e \sqrt { x }	\pi e \sqrt { x }
RIT_2014_298	WRONG	\Delta k x	\Delta ^ { k x }
517_em_411	CORRECT	B + B = B	B + B = B
31_em_178	CORRECT	q + w	q + w
RIT_2014_17	CORRECT	P _ { 1 } P _ { 3 }	P _ { 1 } P _ { 3 }
29_em_164	CORRECT	\cos \pi z	\cos \pi z
35_em_22	CORRECT	x - \pi ( x )	x - \pi ( x )
506_em_61	WRONG	\sqrt { 4 ^ { \sqrt { 4 ! } } }	\sqrt { \sqrt { \sqrt { 4 ^ { 4 ! } } } }
RIT_2014_289	WRONG	- | y | \leq | y \leq | y |	- | y | \leq y \leq | y |
RIT_2014_294	WRONG	- y | \leq | y \leq | y |	- | y | \leq y \leq | y |
36_em_43	CORRECT	( x ^ { \prime } , t ^ { \prime } )	( x ^ { \prime } , t ^ { \prime } )
513_em_308	CORRECT	[ a ] [ b ] = [ a b ]	[ a ] [ b ] = [ a b ]
36_em_49	CORRECT	1 . 6 9 4 6 9 6 1	1 . 6 9 4 6 9 6 1
29_em_172	CORRECT	n \geq 0	n \geq 0
512_em_295	CORRECT	a , \ldots , f	a , \ldots , f
509_em_97	CORRECT	( d - 1 ) ( d + 1 )	( d - 1 ) ( d + 1 )
519_em_442	CORRECT	t ^ { \prime } = t	t ^ { \prime } = t
RIT_2014_102	CORRECT	m ^ { \prime } + N = [ m ^ { \prime } ]	m ^ { \prime } + N = [ m ^ { \prime } ]
18_em_11	CORRECT	q _ { t } = 2 q	q _ { t } = 2 q
518_em_427	CORRECT	\sqrt { 7 } + \sqrt { 2 8 }	\sqrt { 7 } + \sqrt { 2 8 }
37_em_20	CORRECT	0 . 9 - 0 . 9 = 0	0 . 9 - 0 . 9 = 0
515_em_362	CORRECT	v \geq 0	v \geq 0
509_em_95	CORRECT	e _ { P V T }	e _ { P V T }
31_em_177	CORRECT	\alpha ^ { - 1 }	\alpha ^ { - 1 }
RIT_2014_67	CORRECT	x + 2 + \sqrt { 3 }	x + 2 + \sqrt { 3 }
26_em_93	CORRECT	4 \times 4 + 4 - 4	4 \times 4 + 4 - 4
18_em_7	CORRECT	\sin ^ { 2 } \theta	\sin ^ { 2 } \theta
516_em_390	CORRECT	\frac { a } { b }	\frac { a } { b }
RIT_2014_153	CORRECT	\log _ { b } b ^ { x } = X	\log _ { b } b ^ { x } = X
RIT_2014_228	CORRECT	\int u ^ { 8 } \frac { d u } { 1 2 }	\int u ^ { 8 } \frac { d u } { 1 2 }
32_em_204	CORRECT	\pm \sqrt { x }	\pm \sqrt { x }
510_em_107	CORRECT	\sqrt { a b } = \sqrt { a } \sqrt { b }	\sqrt { a b } = \sqrt { a } \sqrt { b }
RIT_2014_236	CORRECT	n \neq a	n \neq a
RIT_2014_296	CORRECT	\theta + e \alpha	\theta + e \alpha
504_em_41	CORRECT	- j = - \sqrt { - 1 }	- j = - \sqrt { - 1 }
RIT_2014_48	CORRECT	q - ( q - \sqrt { 2 } ) = \sqrt { 2 }	q - ( q - \sqrt { 2 } ) = \sqrt { 2 }
35_em_17	CORRECT	x ^ { 2 } + x + 1	x ^ { 2 } + x + 1
35_em_6	CORRECT	1 5 \div 5 = 3	1 5 \div 5 = 3
511_em_266	CORRECT	F _ { 0 } ^ { 1 }	F _ { 0 } ^ { 1 }
RIT_2014_98	CORRECT	G _ { b } = g G _ { a } g ^ { - 1 }	G _ { b } = g G _ { a } g ^ { - 1 }
36_em_48	CORRECT	\sum _ { k } j [ k ]	\sum _ { k } j [ k ]
RIT_2014_5	WRONG	\frac { m } { m m m }	\frac { m } { m m }
27_em_104	CORRECT	w = q _ { H } - q _ { C }	w = q _ { H } - q _ { C }
501_em_21	CORRECT	\theta \rightarrow 0	\theta \rightarrow 0
515_em_356	CORRECT	x \rightarrow 0	x \rightarrow 0
RIT_2014_221	CORRECT	A + B + B = A + B	A + B + B = A + B
34_em_233	CORRECT	f ( 5 ) = 2 5 = f ( - 5 )	f ( 5 ) = 2 5 = f ( - 5 )
28_em_127	CORRECT	X , X _ { t }	X , X _ { t }
515_em_350	CORRECT	\sin ( \beta )	\sin ( \beta )
RIT_2014_283	CORRECT	s = 2 5 8 5 7	s = 2 5 8 5 7
RIT_2014_305	CORRECT	\frac { \pi } { \alpha }	\frac { \pi } { \alpha }
18_em_5	CORRECT	\int g = \lim _ { n \rightarrow \infty } \int g _ { n }	\int g = \lim _ { n \rightarrow \infty } \int g _ { n }
RIT_2014_240	CORRECT	| z - z _ { 1 } | = | z - z _ { 2 } |	| z - z _ { 1 } | = | z - z _ { 2 } |
RIT_2014_73	CORRECT	\{ 7 , 7 \} = \{ 7 \}	\{ 7 , 7 \} = \{ 7 \}
36_em_30	CORRECT	\tan \gamma _ { i }	\tan \gamma _ { i }
RIT_2014_42	WRONG	\sum \beta = \alpha \beta + \alpha \gamma + \beta \gamma	\sum \alpha \beta = \alpha \beta + \alpha \gamma + \beta \gamma
37_em_30	CORRECT	f ( f ( x ) ) = g ( g ( x ) )	f ( f ( x ) ) = g ( g ( x ) )
29_em_152	CORRECT	\sqrt { - n } = i \sqrt { n }	\sqrt { - n } = i \sqrt { n }
RIT_2014_160	CORRECT	\sigma _ { a } , \sigma _ { m }	\sigma _ { a } , \sigma _ { m }
RIT_2014_205	CORRECT	\sigma _ { a } , \sigma _ { m }	\sigma _ { a } , \sigma _ { m }
RIT_2014_147	WRONG	( a ( b ^ { 2 } ) + ( d ^ { 3 } )	( a ( b ^ { 2 } ) ) + ( d ^ { 3 } )
23_em_64	CORRECT	\log _ { e } x	\log _ { e } x
513_em_311	CORRECT	1 0 ^ { \frac { 1 } { 1 0 } }	1 0 ^ { \frac { 1 } { 1 0 } }
504_em_46	CORRECT	e ^ { 2 x }	e ^ { 2 x }
20_em_34	CORRECT	\sin ( a + b )	\sin ( a + b )
RIT_2014_232	WRONG	\sqrt { \frac { 9 . 8 1 } { l } = \pi	\sqrt { \frac { 9 . 8 1 } { l } } = \pi
RIT_2014_247	CORRECT	1 \pm \sqrt { 2 }	1 \pm \sqrt { 2 }
504_em_39	WRONG	\sqrt { \frac { 2 7 } { \sqrt { 9 } } }	\frac { \sqrt { 2 7 } } { \sqrt [ 3 ] { 9 } }
505_em_55	CORRECT	\int \frac { d v } { v } = \int 2 d x	\int \frac { d v } { v } = \int 2 d x
27_em_123	CORRECT	\int 2 x ^ { - 2 } d x	\int 2 x ^ { - 2 } d x
35_em_4	CORRECT	w _ { 1 } + w _ { 2 }	w _ { 1 } + w _ { 2 }
29_em_156	CORRECT	( 2 , 2 , 2 , 0 )	( 2 , 2 , 2 , 0 )
20_em_28	WRONG	1 3 7 9 1 9 4 1 7 1	1 . 3 7 9 1 9 4 1 7 1
RIT_2014_52	CORRECT	\int x + 5 d x	\int x + 5 d x
516_em_388	WRONG	\sqrt { \alpha ^ { 2 } - \beta ^ { 2 } t }	\sqrt { \alpha ^ { 2 } - \beta ^ { 2 } } t
519_em_462	CORRECT	\sum _ { r = 1 } ^ { n } r	\sum _ { r = 1 } ^ { n } r
RIT_2014_96	CORRECT	N + 2 3 3 = 2 3 6	N + 2 3 3 = 2 3 6
32_em_202	CORRECT	3 N - 3 - 2 = 3 N - 5	3 N - 3 - 2 = 3 N - 5
507_em_76	CORRECT	4 \times 4 + 4 + 4	4 \times 4 + 4 + 4
27_em_118	CORRECT	\sqrt { 3 2 } + \sqrt { 3 2 }	\sqrt { 3 2 } + \sqrt { 3 2 }
23_em_54	CORRECT	\beta _ { 0 } = 1 0 0 0	\beta _ { 0 } = 1 0 0 0
26_em_95	CORRECT	\sqrt { a } \sqrt { b } = \sqrt { a b }	\sqrt { a } \sqrt { b } = \sqrt { a b }
RIT_2014_63	CORRECT	c _ { x } c _ { x + 1 }	c _ { x } c _ { x + 1 }
512_em_284	CORRECT	( 6 ) ( 6 ) ( 6 ) = 2 1 6	( 6 ) ( 6 ) ( 6 ) = 2 1 6
RIT_2014_196	WRONG	\int \sin x d x d x	\int \sin ^ { 2 } x d x
RIT_2014_101	WRONG	\frac { 1 } { 2 } ( 1 - ( \frac { \gamma } { 1 + \gamma _ { 0 } } )	\frac { 1 } { 2 } ( 1 - \sqrt { \frac { \gamma } { 1 + \gamma _ { 0 } } } )
27_em_105	CORRECT	( a - 2 x ) ( a + 2 x )	( a - 2 x ) ( a + 2 x )
518_em_416	CORRECT	x ^ { 3 } + 8 y ^ { 3 }	x ^ { 3 } + 8 y ^ { 3 }
RIT_2014_64	CORRECT	a b \sin \alpha	a b \sin \alpha
518_em_438	CORRECT	\frac { 2 } { \sqrt { 2 - \sqrt { 2 } } }	\frac { 2 } { \sqrt { 2 - \sqrt { 2 } } }
34_em_231	CORRECT	q _ { e q } = 1 - p _ { e q }	q _ { e q } = 1 - p _ { e q }
RIT_2014_181	CORRECT	\lim _ { b \rightarrow \infty } f ( b )	\lim _ { b \rightarrow \infty } f ( b )
RIT_2014_248	CORRECT	\frac { 2 - p } { \sqrt { 1 - p } }	\frac { 2 - p } { \sqrt { 1 - p } }
23_em_66	CORRECT	z ^ { 3 } + z = z	z ^ { 3 } + z = z
37_em_12	CORRECT	u ( x _ { b } ) = u _ { b } ( x _ { b } )	u ( x _ { b } ) = u _ { b } ( x _ { b } )
34_em_232	CORRECT	t _ { \theta } ^ { - 1 } = t _ { - \theta }	t _ { \theta } ^ { - 1 } = t _ { - \theta }
519_em_440	CORRECT	\frac { 8 9 9 3 } { 7 8 7 3 }	\frac { 8 9 9 3 } { 7 8 7 3 }
