Test Year: 2014
Total: 985, Correct: 222, ExpRate: 22.54%
----------------------------------------
Image	Status	Prediction	GroundTruth
RIT_2014_76	CORRECT	t \rightarrow \infty	t \rightarrow \infty
RIT_2014_291	WRONG	\mu _ { m }	\mu m
RIT_2014_132	WRONG	\lim _ { m }	1 m
RIT_2014_41	WRONG	- 3	- \sqrt { 3 }
29_em_150	WRONG	6 0 ^ { 0 }	6 0 ^ { o }
RIT_2014_65	WRONG	6 \times H	G \times H
506_em_59	CORRECT	y \in B	y \in B
31_em_189	CORRECT	x . y	x . y
RIT_2014_50	WRONG	\sqrt { x } ^ { s }	\sqrt { x ^ { 5 } }
36_em_44	CORRECT	p \geq 1	p \geq 1
37_em_27	WRONG	\alpha , 3	\alpha , \beta
RIT_2014_269	WRONG	B ^ { B - 1 }	B B ^ { - 1 }
RIT_2014_187	WRONG	\lim _ { m }	1 m
518_em_423	CORRECT	u _ { m }	u _ { m }
37_em_7	WRONG	( 6 \theta _ { \theta }	\cos 6 \theta
36_em_46	CORRECT	x \neq 4	x \neq 4
517_em_406	CORRECT	\sum b _ { n }	\sum b _ { n }
36_em_28	WRONG	1 2 . 3	1 2 \div 3
36_em_47	WRONG	7 0 ^ { 6 }	7 0 ^ { o }
516_em_395	WRONG	n - 0	n \neq 0
32_em_215	CORRECT	m ^ { 3 }	m ^ { 3 }
512_em_285	WRONG	x _ { n } ^ { 2 }	X _ { n } ^ { 2 }
513_em_310	WRONG	0 + 7	8 + 7
505_em_52	WRONG	o r _ { 1 }	o r 1
RIT_2014_82	CORRECT	s _ { 2 }	s _ { 2 }
511_em_271	WRONG	f + 8	f + g
513_em_305	WRONG	\cos ( B )	\cos ( \beta )
515_em_360	WRONG	c ^ { \alpha }	C ^ { \alpha }
RIT_2014_115	WRONG	G _ { e } a	G _ { e q }
RIT_2014_40	WRONG	\cos \cos	c o d
509_em_90	CORRECT	\pm \sqrt { 6 }	\pm \sqrt { 6 }
RIT_2014_61	CORRECT	0 . 0 8 7 8	0 . 0 8 7 8
34_em_241	WRONG	\phi ( x ( n ) )	\phi ( \phi ( n ) )
RIT_2014_78	WRONG	\pi _ { 0 }	\pm \theta _ { 0 }
36_em_35	WRONG	7 _ { 1 } 2 _ { 2 }	z _ { 1 } z _ { 2 }
RIT_2014_277	WRONG	m , m	m , n
RIT_2014_54	WRONG	2 < p	z < p
501_em_13	WRONG	y < y	y < y \prime
500_em_108	CORRECT	s \geq 1	s \geq 1
RIT_2014_140	CORRECT	\sum a _ { n }	\sum a _ { n }
31_em_176	WRONG	( \frac { \pi } { \sqrt { 2 } )	( \frac { \pi } { \sqrt { 2 } } )
35_em_1	CORRECT	E P E	E P E
35_em_10	WRONG	g ^ { - a p }	g _ { a b }
26_em_91	WRONG	k [ a - 1 ]	k [ a ^ { - 1 } ]
510_em_102	WRONG	m _ { V }	m v
515_em_368	WRONG	F _ { I _ { m } }	I m
506_em_60	WRONG	b _ { u _ { 1 } }	b a g _ { 1 }
518_em_421	CORRECT	\sum F _ { y }	\sum F _ { y }
32_em_214	CORRECT	\int c d x	\int c d x
RIT_2014_275	CORRECT	s \neq 1	s \neq 1
512_em_282	WRONG	\sqrt { 3 } x ^ { 2 }	\sqrt [ 3 ] { x ^ { 2 } }
511_em_253	WRONG	x _ { f _ { g } }	X _ { f g }
RIT_2014_169	WRONG	\beta _ { i + 1 } { j }	\beta _ { j + 1 }
23_em_71	WRONG	c _ { c }	c T ^ { \prime }
RIT_2014_99	CORRECT	\frac { 1 } { 9 }	\frac { 1 } { 9 }
26_em_76	CORRECT	- m p	- m p
27_em_122	WRONG	\sqrt { x } \sqrt { b }	\pm \sqrt [ x ] { b }
518_em_418	WRONG	r x _ { n }	r \times n
27_em_103	WRONG	[ 7 ] x ^ { A }	\exists y \exists x F
32_em_206	WRONG	[ E S ]	[ [ S ] ]
RIT_2014_281	WRONG	1 0 0 . 0 0	1 0 0 , 0 0 0
513_em_302	WRONG	c x b	c \geq b
RIT_2014_35	CORRECT	\theta + c	\theta + c
512_em_291	CORRECT	2 . 9 9 9 9	2 . 9 9 9 9
514_em_337	WRONG	V ^ { V - 1 }	V V ^ { - 1 }
RIT_2014_261	WRONG	a \neq 0	d \neq 0
503_em_32	WRONG	F = \pi	F \neq H
RIT_2014_16	WRONG	\sqrt { 2 + \sqrt { 8 }	\sqrt { 2 } + \sqrt { 8 }
515_em_354	CORRECT	4 \sqrt { 3 }	4 \sqrt { 3 }
516_em_376	WRONG	\frac { 2 } { L }	2 ^ { - 4 }
34_em_248	WRONG	R _ { i + a }	q _ { i } + a
37_em_28	WRONG	\sum F _ { 2 } = 0	\sum F _ { z } = 0
RIT_2014_100	WRONG	a \leq b	a \geq b
RIT_2014_292	WRONG	X . 8	x - 8
34_em_245	WRONG	p \sum \infty	r \rightarrow \infty
34_em_228	WRONG	- y - 5 ( 1 ]	- y - 5 ( 1 )
RIT_2014_271	WRONG	\log _ { N }	\log _ { u } N
RIT_2014_143	WRONG	| x | y | \leq | y | y |	| x | | y | = | x y |
32_em_216	WRONG	g ( y ) - y ( x )	g ( y ) - g ( x )
20_em_32	CORRECT	\frac { \pi } { 3 }	\frac { \pi } { 3 }
501_em_16	WRONG	N x _ { y }	N _ { X Y }
501_em_17	WRONG	b _ { i 0 }	\mu \pm \sigma
26_em_85	CORRECT	\log _ { u } g	\log _ { u } g
RIT_2014_302	WRONG	\pm \sqrt { 1 } ^ { s } \pi 6	\pm \sqrt { \frac { 1 5 } { 1 6 } }
511_em_252	CORRECT	n ( - 1 ) ^ { n }	n ( - 1 ) ^ { n }
511_em_260	WRONG	\int E d t	\int I d t
37_em_10	WRONG	\frac { x } { v }	\frac { X } { V }
26_em_86	CORRECT	\log _ { a } x	\log _ { a } x
RIT_2014_238	WRONG	e ^ { - k }	r ^ { - k }
503_em_25	CORRECT	\sum Y _ { i }	\sum Y _ { i }
RIT_2014_195	WRONG	\sqrt { n } ^ { n } \sqrt { x } }	\sqrt [ m ] { \sqrt [ n ] { x } }
18_em_4	CORRECT	e ^ { - n }	e ^ { - n }
32_em_221	WRONG	n \geq , N	n \geq N
23_em_69	WRONG	x \leq 1 5	X \leq 1 5
23_em_55	CORRECT	\sqrt { 1 1 3 }	\sqrt { 1 1 3 }
29_em_157	WRONG	y = y	y = y \prime
27_em_119	WRONG	6 7 1 8	6 7 7 8
35_em_5	WRONG	E \int E _ { E } E ]	E / [ E , E ]
RIT_2014_198	WRONG	\pi x | y | = | x + y |	| x | | y | = | x y |
20_em_44	CORRECT	8 c m	8 c m
509_em_91	WRONG	\mu x 6	\mu < 6
36_em_42	CORRECT	m \times p	m \times p
RIT_2014_310	WRONG	y \leq 2	y \leq z
RIT_2014_39	CORRECT	\sqrt { - 4 }	\sqrt { - 4 }
RIT_2014_303	CORRECT	p \geq 3	p \geq 3
514_em_333	CORRECT	\beta _ { n + 1 }	\beta _ { n + 1 }
RIT_2014_125	WRONG	7 + w	z + w
RIT_2014_53	WRONG	| a 6 | = | a / 1 . 0 |	| a b | = | a | \cdot | b |
RIT_2014_121	WRONG	f ( z ) = 2	f ( z ) = z
512_em_299	WRONG	P ( 1 - p )	p ( 1 - p )
514_em_346	CORRECT	m ^ { 2 }	m ^ { 2 }
28_em_136	WRONG	A _ { t + 1 }	\pi _ { t + 1 }
RIT_2014_280	WRONG	\int 9 + f _ { 1 6 }	\sqrt { 9 } + \sqrt { 1 6 }
RIT_2014_270	WRONG	c + 2	c \neq 2
28_em_146	WRONG	\frac { 1 9 q } { 1 1 }	\frac { 1 9 9 } { 1 1 }
512_em_281	CORRECT	\frac { p } { t }	\frac { p } { t }
RIT_2014_152	WRONG	\frac { 4 4 - 4 } { 4 }	4 4 - \frac { 4 } { 4 }
518_em_432	WRONG	9 \geq 1	q \geq 1
516_em_399	CORRECT	\frac { 3 } { 8 }	\frac { 3 } { 8 }
504_em_37	WRONG	| y _ { 2 } - y _ { 1 }	| y _ { 2 } - y _ { 1 } |
32_em_207	CORRECT	\int - \cos \phi d \phi	\int - \cos \phi d \phi
23_em_50	CORRECT	d ^ { - 7 }	d ^ { - 7 }
505_em_49	WRONG	1 \sqrt { 7 + 2 \sqrt { 7 }	1 \sqrt { 7 } + 2 \sqrt { 7 }
513_em_324	WRONG	\sqrt { q + \sqrt { b } }	\sqrt { a } + \sqrt { b }
RIT_2014_11	WRONG	n _ { i } = 1 0 _ { N }	n _ { N } = N _ { N }
35_em_19	WRONG	2 . 3	2 \div 3
26_em_79	CORRECT	- a + b + c	- a + b + c
RIT_2014_245	WRONG	5 ^ { 3 } - 3 / 2 b	b ^ { 3 } - 3 / 2 b
29_em_170	CORRECT	E ( t ) \leq E ( 0 )	E ( t ) \leq E ( 0 )
RIT_2014_69	WRONG	\sqrt { 1 + x } { n - x }	\sqrt { \frac { 1 + x } { 1 - x } } = \sqrt { \frac { 1 + x } { 1 + x } \frac { 1 + x } { 1 - x } } = \frac { 1 + x } { \sqrt { 1 - x ^ { 2 } } }
RIT_2014_90	WRONG	M _ { z - 1 }	m \geq 1
515_em_358	CORRECT	f ( t ) g ( t )	f ( t ) g ( t )
515_em_370	CORRECT	x _ { B 5 }	x _ { B 5 }
RIT_2014_127	WRONG	q = q , q _ { 2 }	q _ { = } q _ { 1 } q _ { 2 }
36_em_34	CORRECT	\sqrt { 2 } \sqrt { 2 } = 2	\sqrt { 2 } \sqrt { 2 } = 2
515_em_351	WRONG	1 = 1 ( 1 / 1 )	1 = 1 ( 1 ) ( 1 )
501_em_22	WRONG	v _ { r > f }	\forall \gamma \in X
512_em_287	WRONG	\sqrt { 1 7 } = \sqrt { 5 }	\sqrt { 1 7 } \div \sqrt { 5 }
RIT_2014_106	CORRECT	\sin 6 \theta	\sin 6 \theta
506_em_64	WRONG	\sqrt { A + 2 \sqrt { A } }	\sqrt { 7 } + 2 \sqrt { 7 }
RIT_2014_257	WRONG	\frac { 1 1 1 } { 3 } } { 3 }	\frac { 1 1 } { 3 } \sqrt { 3 }
20_em_47	CORRECT	5 3 9 5	5 3 9 5
RIT_2014_31	WRONG	y ^ { 2 } ^ { y } y \cos y	y ^ { 2 } , \sqrt { y } \cos y
RIT_2014_129	CORRECT	\int _ { 2 } ^ { b } f d \alpha	\int _ { 2 } ^ { b } f d \alpha
23_em_73	WRONG	\beta _ { m + 1 }	B _ { m + 1 }
RIT_2014_124	WRONG	1 + e x	\pi e \sqrt { x }
RIT_2014_298	WRONG	\Delta _ { k < x }	\Delta ^ { k x }
517_em_411	WRONG	B + B - B	B + B = B
31_em_178	WRONG	k + w	q + w
RIT_2014_17	WRONG	p , p _ { 3 }	P _ { 1 } P _ { 3 }
29_em_164	WRONG	\cos A 3	\cos \pi z
35_em_22	WRONG	x - A ( x )	x - \pi ( x )
506_em_61	WRONG	\sqrt { 4 \sqrt { 4 } }	\sqrt { \sqrt { \sqrt { 4 ^ { 4 ! } } } }
RIT_2014_289	WRONG	- , y | \leq y \leq | y )	- | y | \leq y \leq | y |
RIT_2014_294	WRONG	1 + y | \leq y \leq | y |	- | y | \leq y \leq | y |
36_em_43	WRONG	( x ^ { ' } , t )	( x ^ { \prime } , t ^ { \prime } )
513_em_308	WRONG	[ a ] b [ b ] = [ b ]	[ a ] [ b ] = [ a b ]
36_em_49	WRONG	1 . 6 9 6 6 9 6	1 . 6 9 4 6 9 6 1
29_em_172	CORRECT	n \geq 0	n \geq 0
512_em_295	WRONG	a _ { j } , \ldots , f	a , \ldots , f
509_em_97	CORRECT	( d - 1 ) ( d + 1 )	( d - 1 ) ( d + 1 )
519_em_442	WRONG	1 ^ { ' } = t	t ^ { \prime } = t
RIT_2014_102	WRONG	m ^ { \prime } + N = m ^ { j }	m ^ { \prime } + N = [ m ^ { \prime } ]
18_em_11	WRONG	q _ { i } = 2 a	q _ { t } = 2 q
518_em_427	CORRECT	\sqrt { 7 } + \sqrt { 2 8 }	\sqrt { 7 } + \sqrt { 2 8 }
37_em_20	CORRECT	0 . 9 - 0 . 9 = 0	0 . 9 - 0 . 9 = 0
515_em_362	WRONG	V \geq 0	v \geq 0
509_em_95	WRONG	e _ { p + v }	e _ { P V T }
31_em_177	CORRECT	\alpha ^ { - 1 }	\alpha ^ { - 1 }
RIT_2014_67	WRONG	n + 2 + \sqrt { 3 }	x + 2 + \sqrt { 3 }
26_em_93	CORRECT	4 \times 4 + 4 - 4	4 \times 4 + 4 - 4
18_em_7	WRONG	s ^ { s } s ^ { 2 } \theta	\sin ^ { 2 } \theta
516_em_390	CORRECT	\frac { a } { b }	\frac { a } { b }
RIT_2014_153	WRONG	\log _ { b } b ^ { n } = x	\log _ { b } b ^ { x } = X
RIT_2014_228	WRONG	\int _ { u ^ { 8 } d u } { T _ { 2 } }	\int u ^ { 8 } \frac { d u } { 1 2 }
32_em_204	WRONG	\pm \sqrt { 2 }	\pm \sqrt { x }
510_em_107	WRONG	\sqrt { a } = \sqrt { b } \sqrt { a _ { 0 } }	\sqrt { a b } = \sqrt { a } \sqrt { b }
RIT_2014_236	WRONG	n + a	n \neq a
RIT_2014_296	WRONG	\theta + e ^ { \alpha }	\theta + e \alpha
504_em_41	WRONG	- j = - \sqrt { 1 }	- j = - \sqrt { - 1 }
RIT_2014_48	WRONG	q - ( a \sqrt { 2 } ) = \sqrt { 2 }	q - ( q - \sqrt { 2 } ) = \sqrt { 2 }
35_em_17	CORRECT	x ^ { 2 } + x + 1	x ^ { 2 } + x + 1
35_em_6	WRONG	1 5 . 5 = 3	1 5 \div 5 = 3
511_em_266	WRONG	F _ { 1 0 }	F _ { 0 } ^ { 1 }
RIT_2014_98	WRONG	\gamma _ { 3 } = g _ { 8 } y _ { 1 }	G _ { b } = g G _ { a } g ^ { - 1 }
36_em_48	WRONG	\sum _ { r } ^ { j } ( w ]	\sum _ { k } j [ k ]
RIT_2014_5	WRONG	\frac { m } { m n }	\frac { m } { m m }
27_em_104	WRONG	w = q _ { 1 } + q - e	w = q _ { H } - q _ { C }
501_em_21	WRONG	a \rightarrow 0	\theta \rightarrow 0
515_em_356	CORRECT	x \rightarrow 0	x \rightarrow 0
RIT_2014_221	WRONG	A + B + B = B + B	A + B + B = A + B
34_em_233	WRONG	f ( g ) = 2 5 = f ( 5 )	f ( 5 ) = 2 5 = f ( - 5 )
28_em_127	WRONG	x , x _ { t }	X , X _ { t }
515_em_350	WRONG	s _ { i \pi } ( \beta 3 )	\sin ( \beta )
RIT_2014_283	WRONG	s = 2 5 8 7	s = 2 5 8 5 7
RIT_2014_305	CORRECT	\frac { \pi } { \alpha }	\frac { \pi } { \alpha }
18_em_5	CORRECT	\int g = \lim _ { n \rightarrow \infty } \int g _ { n }	\int g = \lim _ { n \rightarrow \infty } \int g _ { n }
RIT_2014_240	WRONG	1 2 - z _ { 1 } , z _ { 2 } - z _ { 2 } }	| z - z _ { 1 } | = | z - z _ { 2 } |
RIT_2014_73	WRONG	\{ 7 , 7 3 = \sum 7 3	\{ 7 , 7 \} = \{ 7 \}
36_em_30	WRONG	b ^ { a r _ { i } }	\tan \gamma _ { i }
RIT_2014_42	WRONG	\sum \alpha = \beta + \alpha + \alpha + \beta	\sum \alpha \beta = \alpha \beta + \alpha \gamma + \beta \gamma
37_em_30	CORRECT	f ( f ( x ) ) = g ( g ( x ) )	f ( f ( x ) ) = g ( g ( x ) )
29_em_152	CORRECT	\sqrt { - n } = i \sqrt { n }	\sqrt { - n } = i \sqrt { n }
RIT_2014_160	WRONG	\theta _ { a x } \theta _ { m }	\sigma _ { a } , \sigma _ { m }
RIT_2014_205	WRONG	\theta _ { a } > \theta _ { m }	\sigma _ { a } , \sigma _ { m }
RIT_2014_147	WRONG	( a ( b ) ^ { 2 } ) + ( d ^ { 3 } )	( a ( b ^ { 2 } ) ) + ( d ^ { 3 } )
23_em_64	WRONG	\cos e ^ { x }	\log _ { e } x
513_em_311	CORRECT	1 0 ^ { \frac { 1 } { 1 0 } }	1 0 ^ { \frac { 1 } { 1 0 } }
504_em_46	CORRECT	e ^ { 2 x }	e ^ { 2 x }
20_em_34	WRONG	\sin ( a + 5 )	\sin ( a + b )
RIT_2014_232	WRONG	\frac { \int 0 . 8 1 } { e } = \pi	\sqrt { \frac { 9 . 8 1 } { l } } = \pi
RIT_2014_247	WRONG	1 \pm - 2	1 \pm \sqrt { 2 }
504_em_39	WRONG	\frac { \sqrt { 2 7 } { \sqrt { 9 } }	\frac { \sqrt { 2 7 } } { \sqrt [ 3 ] { 9 } }
505_em_55	WRONG	\int _ { 0 } ^ { 4 } } x = \int _ { 2 } ^ { 2 } d x	\int \frac { d v } { v } = \int 2 d x
27_em_123	WRONG	\int 2 x - 2 d x	\int 2 x ^ { - 2 } d x
35_em_4	CORRECT	w _ { 1 } + w _ { 2 }	w _ { 1 } + w _ { 2 }
29_em_156	WRONG	( 2 , z _ { 0 } , 2 , 0 )	( 2 , 2 , 2 , 0 )
20_em_28	WRONG	1 . 3 7 / 9 4 1 / 7	1 . 3 7 9 1 9 4 1 7 1
RIT_2014_52	WRONG	\int x + S d x	\int x + 5 d x
516_em_388	WRONG	\sqrt { \alpha ^ { 2 } - \beta ^ { 2 } }	\sqrt { \alpha ^ { 2 } - \beta ^ { 2 } } t
519_em_462	WRONG	\sum _ { i + 1 } ^ { n } r	\sum _ { r = 1 } ^ { n } r
RIT_2014_96	WRONG	n + 2 3 3 = 2 3 6	N + 2 3 3 = 2 3 6
32_em_202	CORRECT	3 N - 3 - 2 = 3 N - 5	3 N - 3 - 2 = 3 N - 5
507_em_76	WRONG	4 x 4 + 4 + 4	4 \times 4 + 4 + 4
27_em_118	WRONG	\sqrt { 3 + 2 + \sqrt { 3 2 }	\sqrt { 3 2 } + \sqrt { 3 2 }
23_em_54	CORRECT	\beta _ { 0 } = 1 0 0 0	\beta _ { 0 } = 1 0 0 0
26_em_95	WRONG	\sqrt { a \sqrt { b } = \sqrt { a b }	\sqrt { a } \sqrt { b } = \sqrt { a b }
RIT_2014_63	WRONG	c _ { x } c x + 1	c _ { x } c _ { x + 1 }
512_em_284	CORRECT	( 6 ) ( 6 ) ( 6 ) = 2 1 6	( 6 ) ( 6 ) ( 6 ) = 2 1 6
RIT_2014_196	WRONG	r \sin 7 \times d x ^ { 2 }	\int \sin ^ { 2 } x d x
RIT_2014_101	WRONG	\frac { 1 } { 2 } ( 1 - \frac { \sqrt { \gamma } } { \pi r _ { 0 } )	\frac { 1 } { 2 } ( 1 - \sqrt { \frac { \gamma } { 1 + \gamma _ { 0 } } } )
27_em_105	WRONG	a - 2 x ^ { x } ( a + 2 x )	( a - 2 x ) ( a + 2 x )
518_em_416	CORRECT	x ^ { 3 } + 8 y ^ { 3 }	x ^ { 3 } + 8 y ^ { 3 }
RIT_2014_64	WRONG	a 6 \sin \alpha	a b \sin \alpha
518_em_438	WRONG	\frac { 2 } { \sqrt { 2 - \sqrt { 2 } }	\frac { 2 } { \sqrt { 2 - \sqrt { 2 } } }
34_em_231	WRONG	3 e = 1 - p e c	q _ { e q } = 1 - p _ { e q }
RIT_2014_181	WRONG	\lim _ { b \rightarrow \infty } f ( 6 )	\lim _ { b \rightarrow \infty } f ( b )
RIT_2014_248	CORRECT	\frac { 2 - p } { \sqrt { 1 - p } }	\frac { 2 - p } { \sqrt { 1 - p } }
23_em_66	CORRECT	z ^ { 3 } + z = z	z ^ { 3 } + z = z
37_em_12	WRONG	u ( x _ { p } ) = u _ { b } ( x _ { b } )	u ( x _ { b } ) = u _ { b } ( x _ { b } )
34_em_232	WRONG	t _ { \theta - 1 } = f - \theta	t _ { \theta } ^ { - 1 } = t _ { - \theta }
519_em_440	WRONG	y > \frac { b } { 7 8 7 3 }	\frac { 8 9 9 3 } { 7 8 7 3 }
RIT_2014_74	WRONG	- p _ { 1 } ( p _ { 2 }	- P _ { 1 } / P _ { 2 }
RIT_2014_149	WRONG	\frac { \sin z } { 2 }	\frac { \sin z } { z }
RIT_2014_212	CORRECT	t _ { 0 } \leq t \leq b	t _ { 0 } \leq t \leq b
23_em_70	CORRECT	\alpha + \beta = \beta + \alpha	\alpha + \beta = \beta + \alpha
506_em_66	WRONG	2 x A \leq 4	2 \leq A \leq 4
RIT_2014_46	CORRECT	a \leq w	a \leq w
