UN_101_em_0	x Sup 2 Right M NoRel + Right x Sup M Right - Right 1
UN_104_em_82	- Right 0 Right COMMA Right 4 Right 6 Right \div Right 1
UN_104_em_83	a Right x Right + Right b Right y Right + Right c Right = Right 0
UN_104_em_84	x Sup 9 NoRel - Right x Sup 8
UN_104_em_85	w Sup 2 NoRel = Right ( Right w Sub 1 NoRel ) Sup 2 NoRel + Right ( Right w Sub 2 NoRel ) Sup 2
UN_104_em_86	z Sub 1 NoRel z Sub 2 NoRel z Sub 3 NoRel + Right z Sub 1 NoRel z Sub 2 NoRel z Sub 4 NoRel + Right z Sub 1 NoRel z Sub 3 NoRel z Sub 4 NoRel + Right z Sub 2 NoRel z Sub 3 NoRel z Sub 4
UN_104_em_87	\int Right \sqrt Inside g NoRel R Sup 2
UN_104_em_88	\sqrt Inside c Sub i
UN_104_em_89	t Right = Right \sum Below a NoRel t Sub a
UN_104_em_90	y Sup 2 NoRel = Right ( Right x Right - Right b Sub 1 NoRel ) Right ( Right x Right - Right b Sub 2 NoRel ) Right ( Right x Right - Right b Sub 3 NoRel )
UN_104_em_91	( Right - Right \log Right x Right COMMA Right - Right \log Right y Right )
UN_104_em_92	Y Sup a NoRel Y Sup a NoRel + Right Y Sup 5 NoRel Y Sup 5 NoRel = Right 5
UN_104_em_93	\sqrt Inside i Right z
UN_104_em_94	z Sub 3 NoRel - NoRel 1 NoRel - Below 2 NoRel \leq Right z Sub 8 NoRel \leq Right z Sub 3 NoRel + NoRel 1 NoRel - Below 2
UN_104_em_95	1 NoRel - Below 8 NoRel + NoRel 1 NoRel - Below 8 Right k Sub 1
UN_104_em_96	- Right \log Right E
UN_104_em_97	- Right ( NoRel 5 Right - Right \sqrt Inside 5 NoRel - Below 5 Right + Right \sqrt Inside 5 NoRel ) NoRel 3 NoRel - Below 4
UN_104_em_98	8 Right COMMA Right 3 Right 9 Right 3 Right 3 Right 9 Right 8 Right 5 Right 8 Right 2
UN_104_em_99	y Sup 4 NoRel = Right ( Right x Right - Right b Sub 1 NoRel ) Sup 2 NoRel ( Right x Right - Right b Sub 2 NoRel ) Sup 2 NoRel ( Right x Right - Right b Sub 3 NoRel ) Sup 3
UN_105_em_100	m Sup a NoRel m Sup b NoRel m Sup c
UN_105_em_101	- Right x Sub 9
UN_105_em_102	x Sup 8 NoRel + Right i Right x Sup 9
UN_105_em_103	B Right = Right - NoRel 1 NoRel - Below 4 NoRel \tan Right ( NoRel p Right \pi NoRel - Below 2 NoRel )
UN_105_em_104	R Right = Right \lim Below n Right \rightarrow Right \infty NoRel a Sub n NoRel / Right a Sub n Right + Right 2
UN_105_em_105	p Right = Right 1 Right \div Right m
UN_105_em_106	w Right = NoRel \sin Sup 2 NoRel \theta NoRel - Below 1 Right + Right \cos Sup 2 NoRel \theta
UN_105_em_107	y Right = Right \cos Sup 2 NoRel z
UN_105_em_108	\log Right \cos Right \theta
UN_105_em_109	1 Sup 2 NoRel + Right 1 Sup 2 NoRel + Right 1 Sup 2 NoRel + Right 3 Sup 2 NoRel + Right 2 Sup 2 NoRel + Right 2 Sup 2 NoRel + Right 2 Sup 2
UN_105_em_110	\int Right f Right ( Right x Right ) Right d Right x
UN_105_em_111	\sqrt Inside 2 Right n Sub k NoRel + Right 1
UN_105_em_112	\pm Right \sqrt Inside - Right 1
UN_105_em_113	y Right = Right x Sub 0 NoRel - Right x
UN_105_em_114	- Right t Sub 1 NoRel 2 NoRel - Right t Sub 2 NoRel 2 NoRel + Right x Sub 1 NoRel 2 NoRel + Right x Sub 2 NoRel 2 NoRel + Right x Sub 3 NoRel 2 NoRel = Right - Right 1
UN_105_em_115	x Sup 0 NoRel ( NoRel COMMA Right x Sup 1 NoRel COMMA Right x Sup 2 NoRel COMMA Right x Sup 3 NoRel COMMA Right x Sup 4 NoRel ) Right = Right ( Right t Right COMMA Right x Right COMMA Right y Right COMMA Right z Right COMMA Right \theta Right )
UN_105_em_116	e Sub 3 Right COMMA Right 4 NoRel COMMA Right f Sub 3 Right COMMA Right 4 NoRel COMMA Right g Sub 3 Right COMMA Right 4
UN_105_em_117	\sum Below a NoRel X Sub a
UN_105_em_118	1 Right - Right n Right + Right 2 Right \sqrt Inside n Right + Right 2 Right ) NoRel ( NoRel ( Right n Right - Right 1 Right ) NoRel \gt Right 0
UN_105_em_119	\sqrt Inside 7 NoRel + Right 1
UN_105_em_120	y Right \geq Right x
UN_105_em_121	e Sub + Right 3
UN_105_em_122	T Sup 4
UN_105_em_123	\sum Below a NoRel e Sup a NoRel e Sup a
UN_105_em_124	a Sub 1 NoRel ( Right y Right ) Sup 2 NoRel + Right c Sub 1 NoRel ( Right y Right ) Sup 2
UN_106_em_125	\int Right A Sub m
UN_106_em_126	s Right = Right \tan Right ( NoRel \theta NoRel - Below 2 NoRel )
UN_106_em_127	t Sub 1 NoRel ( Right t Right ) Right = Right - Right t Sub 2 NoRel ( Right t Right ) Right = Right t Sup n Right + NoRel 1 NoRel - Below 2
UN_106_em_128	x Right \gt Right x Sub o
UN_106_em_129	1 Right . Right 1 Right + Right 0 Right . Right 0 Right 1 Right i
UN_106_em_130	c Right = Right - Below 2 NoRel 3 NoRel - NoRel 1 Right 2 NoRel - Below m Right ( Right m Right + Right 2 Right )
UN_106_em_131	b Right \in Right T
UN_106_em_132	- Below 4 NoRel 1 NoRel \sqrt Inside ( Right a Right + Right b Right + Right c Right ) Right ( Right a Right + Right b Right - Right c Right ) Right ( Right a Right + Right c Right - Right b Right ) Right ( Right b Right + Right c Right - Right a Right )
UN_106_em_133	d Right s Sup 2 NoRel = Right e Sup 2 Right f NoRel ( Right d Right r Sup 2 NoRel + Right d Right z Sup 2 NoRel - Right d Right t Sup 2 NoRel ) Right + NoRel e Sup 2 Right g NoRel - Below y Sup 2 NoRel ( Right d Right x Sup 2 NoRel + Right d Right y Sup 2 NoRel )
UN_106_em_134	x Right \neq Right a
UN_106_em_135	y Sup 2 NoRel = Right ( Right x Right - Right b Sub 1 NoRel ) Right ( Right x Right - Right b Sub 2 NoRel ) Right ( Right x Right - Right b Sub 3 NoRel ) Right ( Right x Right - Right b Sub 4 NoRel )
UN_106_em_136	C Sub x Right x NoRel = Right C Sub x Right y NoRel C Sub y Right x
UN_106_em_137	- Right y Sub c NoRel \leq Right y Right \leq Right y Sub c
UN_106_em_138	X Sub 1 NoRel X Sub 8 NoRel = Right X Sub 6 NoRel X Sub 7
UN_106_em_139	T Right = Right \tan Right \theta
UN_106_em_140	x Sup - Right 1 NoRel d Sup n Right - Right 1 NoRel - Below d Right x Sup n Right - Right 1
UN_106_em_141	\int Right ( Right a Right + Right b Right ) Right = Right \int Right a Right + Right \int Right b
UN_106_em_142	[ Right C Right [ Right - Right 1 Right ] Right ] Right + Right [ Right B Right ] Right = Right [ Right A Right ]
UN_106_em_143	2 Right [ Right ( Right - Below 2 NoRel 1 NoRel COMMA Right 0 Right ) Right + Right ( Right 0 Right COMMA Right - Below 2 NoRel 1 NoRel ) Right ]
UN_106_em_144	z Sub 1 NoRel z Sub 2 NoRel + Right z Sub 1 NoRel z Sub 3 NoRel + Right z Sub 1 NoRel z Sub 4 NoRel + Right z Sub 2 NoRel z Sub 3
UN_106_em_145	\sum Right ( Right n Right + Right a Right ) Sup - Right s
UN_106_em_146	y Sup a NoRel = Right \{ Right r Right \cos Right \theta Sub 1 NoRel COMMA Right \ldots Right COMMA Right r Right \sin Right \theta Sub 1 NoRel \ldots Right \cos Right \theta Sub d Right - Right 1 NoRel COMMA Right r Right \sin Right \theta Sub 1 NoRel \ldots Right \sin Right \theta Sub d Right - Right 1 NoRel \}
UN_106_em_147	\sum Right \sum Above N NoRel b Right \lt Right a NoRel \lambda Sub a NoRel \lambda Sub b NoRel = NoRel N NoRel \sum Below a Right = Right 1 NoRel r Sub a NoRel q Sub a NoRel 2 NoRel - Right \sum Below a Right = Right 1 NoRel N NoRel q Sub a NoRel 2 NoRel \sum Below b Right = Right 1 NoRel N NoRel r Sub b NoRel + Right \sum Right \sum Below b Right \lt Right a NoRel N NoRel r Sub b NoRel r Sub a
UN_106_em_148	\sum Right I Right = Right \sum Right I Sup ( Right 1 Right ) NoRel + Right \sum Right I Sup ( Right 2 Right )
UN_106_em_149	\sum Right ( Right x Sup i NoRel ) Sup 2 NoRel = Right ( Right x Sup 0 NoRel ) Sup 2
UN_107_em_150	\cos Right ( Right a Right )
UN_107_em_151	x Sup a Right + Right 1 NoRel y Sup b Right + Right 1
UN_107_em_152	z Right ( Right t Right ) Right = Right \sqrt NoRel m NoRel - Below 2 NoRel ( Right x Right ( Right t Right ) Right + Right i Right y Right ( Right t Right ) Right )
UN_107_em_153	x Right - Right y
UN_107_em_154	\int Right d Right x Sub 1 NoRel d Right x Sub 2
UN_107_em_155	a Sup a NoRel b Right c NoRel = Right b Sup a NoRel b Right c
UN_107_em_156	z Sub i NoRel l Sub i NoRel z Sub j NoRel l Sub j NoRel - Right z Sub i NoRel l Sub j NoRel z Sub j NoRel l Sub i
UN_107_em_157	\sqrt Inside 3 Right \pm NoRel 3 NoRel \sqrt
UN_107_em_158	\sum Below n NoRel \int Right d Right x
UN_107_em_159	2 Right \log Right b
UN_107_em_160	x Sup 7 NoRel x Sup 8 NoRel x Sup 9
UN_107_em_161	\sin Right \theta Right \neq Right 0
UN_107_em_162	a Sub 3 NoRel = Right 0 Right . Right 0 Right 3 Right 0 Right 7 Right \ldots
UN_107_em_163	b Right = Right - Right c Right = Right \sin Right \alpha
UN_107_em_164	a Right \geq Right - NoRel 1 NoRel - Below 4
UN_107_em_165	- Right n Right + Right p Right + Right j
UN_107_em_166	\log Right ( Right 1 Right - Right x Right ) Right + Right 2 Right x Right = Right 0
UN_107_em_167	x Right \geq Right c
UN_107_em_168	1 NoRel - Below 1 Right 2 NoRel ( Right n Right + Right 2 Right ) Sup 2 NoRel ( Right n Right + Right 1 Right ) Right ( Right n Right + Right 3 Right )
UN_107_em_169	2 NoRel - Below \sqrt Inside 3 NoRel - NoRel 1 NoRel - Below 2 Right \sqrt Inside 3 NoRel = NoRel 1 NoRel - Below 2 Right \sqrt Inside 3 NoRel - Right ( Right - NoRel 1 NoRel - Below \sqrt Inside 3 NoRel ) Right = NoRel \sqrt Inside 3 NoRel - Below 2
UN_107_em_170	[ Right a Right ( Right a Right + Right b Right ) Right 0 Right 0 Right 0 Right ( Right a Right + Right b Right ) Right a Right ]
UN_107_em_171	+ Right z Sup 2 NoRel 2 NoRel z Sub 3 NoRel + Right z Sup 2 NoRel 2 NoRel z Sub 4 NoRel + Right z Sub 3 NoRel 2 NoRel z Sub 1 NoRel + Right z Sub 3 NoRel 2 NoRel z Sub 2 NoRel + Right z Sub 3 NoRel 2 NoRel z Sub 4
UN_107_em_172	\cos Right k Right x
UN_107_em_173	x Sup 0 NoRel x Sup 1 NoRel x Sup 2 NoRel x Sup 3 NoRel x Sup 8 NoRel x Sup 9
UN_107_em_174	- NoRel 2 Right 4 Right 7 NoRel - Below 3 Right 8 Right 4 Right 0 NoRel \sqrt Inside 3 Right 0
UN_108_em_175	\int Sub 0 NoRel 1 NoRel d Right y Right X Right ( Right y Right )
UN_108_em_176	( Right d Right + Right 1 Right + Right n Right ) Right \times Right ( Right d Right + Right 1 Right + Right n Right )
UN_108_em_177	y Sub 1 NoRel y Sub 2 NoRel + Right y Sub 2 NoRel y Sub 1 NoRel = Right 0
UN_108_em_178	k Right = NoRel 1 Right + Right a Sup m NoRel - Below 1 Right - Right a Sup m
UN_108_em_179	x Sub i NoRel s Right - Right 1 NoRel x Sub j NoRel p NoRel + Right \ldots Right + Right x Sub i NoRel p NoRel x Sub j NoRel s Right - Right 1
UN_108_em_180	x Sup a NoRel y Sup a
UN_108_em_181	\sqrt Inside 3 NoRel ( Right \sqrt Inside 2 NoRel )
UN_108_em_182	a Sub a Right b Right c NoRel = Right a Sub c Right b Right a
UN_108_em_183	2 NoRel - Above 1 NoRel ( Right f Sub 1 NoRel 2 NoRel + Right f Sub 2 NoRel 2 NoRel + Right f Sub 3 NoRel 2 NoRel )
UN_108_em_184	s Right ( Right n Right ) Right = NoRel \sqrt Inside 2 NoRel - Above 1 NoRel ( Right \cos NoRel 4 NoRel - Above n Right \pi NoRel + Right \sin NoRel 4 NoRel - Above n Right \pi NoRel ) Right \cos NoRel 4 NoRel - Above n Right \pi
UN_108_em_185	f Sup - Right 1 NoRel ( Right z Right ) Right = Right \tan Right z
UN_108_em_186	y Right = NoRel 1 Right + Right t Sup 3 NoRel - Above 5 Right t Sup 3 NoRel - Right 1
UN_108_em_187	y Sub 0 NoRel \leq Right y Right \leq Right L
UN_108_em_188	0 Right . Right 7 Right 7 Right 7 Right 1
UN_108_em_189	f NoRel 3 NoRel - Above 1 NoRel r Right \sin Right \theta
UN_108_em_190	\cos Right \theta Right X Sup 6 NoRel + Right \sin Right \theta Right X Sup 2
UN_108_em_191	\alpha Right = Right 1 Right \div Right 4
UN_108_em_192	u Sub a Right b NoRel = Right n Sub a Right b NoRel + Right u Sub a NoRel u Sub b
UN_108_em_193	\pm NoRel 6 NoRel - Above 1
UN_108_em_194	y Right ( Right r Right ) Right = Right 7 Right r NoRel 9 Right 5 NoRel - Above 7 Right 3 NoRel + Right 5 Right r Sup \sqrt Inside 5 NoRel + Right 3 Right r Sup \pi NoRel + Right r Sup 2 Right \sqrt Inside 5 NoRel + Right 3 Right r NoRel 5 NoRel - Above 7 Right 7
UN_108_em_195	0 Right \leq Right x Right \leq Right + Right \infty
UN_108_em_196	x Sup 2 NoRel + Right y Sup 2 NoRel + Right ( Right z Right - Right z Sub 1 NoRel ( Right t Right ) Right ) Right ( Right z Right - Right z Sub 2 NoRel ( Right t Right ) Right ) Right ( Right z Right - Right z Sub 3 NoRel ( Right t Right ) Right ) Right = Right 0
UN_108_em_197	| Right z Sub 1 NoRel | Sup 2 NoRel + Right | Right z Sub 2 NoRel | Sup 2 NoRel + Right | Right z Sub 3 NoRel | Sup 2 NoRel = Right 1
UN_108_em_198	Y Sup 1 NoRel + Right Y Sup 2 NoRel + Right Y Sup 3 NoRel = Right - Right t Right + Right 3 Right Y Sup 0
UN_108_em_199	+ Right \sqrt Inside 3
UN_109_em_200	\sin Right ( Right k Sub n NoRel x Right )
UN_109_em_201	2 Right c Right \gt Right \sqrt Inside 6 NoRel - Right \sqrt Inside 3
UN_109_em_202	2 Right . Right 0 Right \times Right 1 Right . Right 0
UN_109_em_203	| Right z Sub 1 NoRel | Sup 2 NoRel - Right | Right z Sub 2 NoRel | Sup 2 NoRel = Right | Right z Sup 2 NoRel | Right - Right | Right z Sup 1 NoRel | Right = Right 1
UN_109_em_204	2 Sup - Right 7 Right / Right 9 NoRel 3 Sup - Right 1 Right / Right 3
UN_109_em_205	\int Right ( Right B Right + Right F Right )
UN_109_em_206	\lim Below t Right \rightarrow Right \infty NoRel 2 Right f Sub 0 NoRel ( Right t Right ) Right f Sub 1 NoRel ( Right t Right ) Right = Right 0
UN_109_em_207	k Right x Right = Right k Sub 0 NoRel x Sup 0 NoRel + Right k Sub 1 NoRel x Sup 1
UN_109_em_208	\lim Below n Right \rightarrow Right \infty NoRel \phi Sub n NoRel = Right 0
UN_109_em_209	- Right - Above 1 NoRel 2 Right \sqrt Inside 3
UN_109_em_210	\tan Right \theta Sub k NoRel = Right \pm Right - Above \sqrt Inside 1 Right - Right T Sup 2 NoRel T
UN_109_em_211	w Sub 3
UN_109_em_212	5 Right \times Right 5 Right \times Right \ldots Right \times Right 5
UN_109_em_213	r Right = Right \sqrt Inside x Sup i NoRel x Sup i
UN_109_em_214	- Above E NoRel m NoRel = Right - Above 1 NoRel \sqrt Inside 1 Right - Right v Sup 2
UN_109_em_215	z Right = Right \tan Right ( Right c Right r Right ) Right / Right c
UN_109_em_216	\int Right \sqrt Inside g NoRel R Right = Right 8 Right \pi
UN_109_em_217	- Above l Right + Right m NoRel \sqrt Inside 1 Right + Right \alpha Sup 2
UN_109_em_218	u Right ( Right x Right + Right b Right ) Right = Right u Right ( Right x Right - Right b Right )
UN_109_em_219	\int Right d Right f
UN_109_em_220	e Sup - Above 2 NoRel 3 NoRel t Sub 1 NoRel + Right - Above 1 NoRel 3 NoRel t Sub 2
UN_109_em_221	\sum Below b NoRel k Sub b
UN_109_em_222	B Right . Right 1
UN_109_em_223	C Sup ( Right q Right ) NoRel x Right y NoRel C Sub y Right x NoRel ( Right q Right )
UN_109_em_224	- Above 1 NoRel \sqrt Inside b
UN_110_em_225	\beta Right = Right 2 Right \cos Right ( Right - Above \pi NoRel 5 NoRel ) Right = Right - Above 1 Right + Right \sqrt Inside 5 NoRel 2
UN_110_em_226	\sin Sup 2 NoRel x
UN_110_em_227	8 Right + Right 7 Right + Right 7 Right + Right 4 Right = Right 2 Right 6
UN_110_em_228	H Right = Right H Sup 1 NoRel 0 NoRel + Right H Sup 1 NoRel 1
UN_110_em_229	8 Right = Right 2 Right + Right 2 Right + Right 1 Right + Right 1 Right + Right 1 Right + Right 1
UN_110_em_230	\sin Right ( Right \theta Right )
UN_110_em_231	x Sup 1 NoRel + Right x Sup 3 NoRel + Right x Sup 5 NoRel = Right b
UN_110_em_232	k Right ! Right \gt Right 0
UN_110_em_233	x Sup 3 NoRel + Right b Right x Sup 4 NoRel COMMA Right x Sup 4 NoRel - Right b Right x Sup 3
UN_110_em_234	a Right \leq Right x Right \leq Right b
UN_110_em_235	3 Right + Right \sqrt Inside 3 NoRel \sqrt NoRel 3 Right - Right \sqrt Inside 3 NoRel \sqrt Right = Right \sqrt Inside 3 NoRel \sqrt Inside 2
UN_110_em_237	x Sub 0 NoRel = Right \tan Right \pi Right ( Right t Right - NoRel 1 NoRel - Below 2 NoRel )
UN_110_em_238	( Right e Sub 1 NoRel e Sub 2 NoRel + Right e Sub 5 NoRel e Sub 4 NoRel + Right e Sub 6 NoRel e Sub 7 NoRel )
UN_110_em_239	- Above 8 Right m Right ( Right m Right + Right 1 Right ) NoRel m Right + Right 3 Right 1
UN_110_em_240	k Right . Right y Right ( Right 1 Right ) Right = Right k Right . Right y Right ( Right 0 Right )
UN_110_em_241	V Sup a Right b NoRel = Right V Sup ( Right a Right + Right 1 Right ) Right ( Right b Right + Right 1 Right )
